,micawber,peggotty,dora,copperfield,agnes,traddles,murdstone,dick,steerforth,wickfield
micawber,0.0,192.03535079415897,127.2031389292273,51.42200891834747,70.82092799813807,40.033922201055255,247.80419516486782,79.23935295183536,205.11076421563763,104.76740450404598
peggotty,192.03535079415897,0.0,399.40358268679756,145.00717835229003,272.7231072895108,271.7029089874354,50.23859812760634,172.54311858145317,89.97982877674063,252.00319884334598
dora,127.2031389292273,399.40358268679756,0.0,240.50086711454935,173.25274729163877,158.1570904746006,1131.5812409124783,357.5547287748943,965.0739198572526,430.2224171753982
copperfield,51.42200891834747,145.00717835229003,240.50086711454935,0.0,91.17034472793618,90.56024005823646,523.1926087546498,165.41769497183085,141.8032659104493,86.50668180147605
agnes,70.82092799813807,272.7231072895108,173.25274729163877,91.17034472793618,0.0,85.01289761677162,897.4048330240946,205.1707060345023,376.5704413598284,99.03463484954008
traddles,40.033922201055255,271.7029089874354,158.1570904746006,90.56024005823646,85.01289761677162,0.0,1463.3204909850524,609.1782337290823,989.1347568577293,403.2170113375445
murdstone,247.80419516486782,50.23859812760634,1131.5812409124783,523.1926087546498,897.4048330240946,1463.3204909850524,0.0,835.571206645056,394.2586604375537,914.5866499886033
dick,79.23935295183536,172.54311858145317,357.5547287748943,165.41769497183085,205.1707060345023,609.1782337290823,835.571206645056,0.0,463.60810469194155,132.90361709633058
steerforth,205.11076421563763,89.97982877674063,965.0739198572526,141.8032659104493,376.5704413598284,989.1347568577293,394.2586604375537,463.60810469194155,0.0,709.1730524294896
wickfield,104.76740450404598,252.00319884334598,430.2224171753982,86.50668180147605,99.03463484954008,403.2170113375445,914.5866499886033,132.90361709633058,709.1730524294896,0.0
