,maurice,jean,henriette,delaherche,weiss,loubet,silvine,honore,gilberte,fouchard
maurice,0.0,4.819139673904244,16.82182124334095,37.58051360075946,26.905266576578235,3.6089573674499857,80.53383063631551,20.683796190262623,71.20154577658334,68.0627504065961
jean,4.819139673904244,0.0,16.45525559403068,47.65269309798033,41.00285860027113,3.700379987053216,53.72281558525034,28.920154549758085,70.05443472244373,37.99943058416476
henriette,16.82182124334095,16.45525559403068,0.0,117.70474341973645,295.8253566361261,377.95391007922825,118.68413529311303,252.69824632464505,25.017388572270747,95.26206686951505
delaherche,37.58051360075946,47.65269309798033,117.70474341973645,0.0,427.18990364031856,557.9418211725861,274.7968667299229,280.59992240436253,57.99803544815648,297.1094353556025
weiss,26.905266576578235,41.00285860027113,295.8253566361261,427.18990364031856,0.0,344.39937258319105,860.6577579552887,365.408887105124,738.5241931946478,1028.7908785615018
loubet,3.6089573674499857,3.700379987053216,377.95391007922825,557.9418211725861,344.39937258319105,0.0,1000.2107603115516,212.53012748461168,809.2071685754509,799.3408918534733
silvine,80.53383063631551,53.72281558525034,118.68413529311303,274.7968667299229,860.6577579552887,1000.2107603115516,0.0,722.2469229153663,360.94100139204403,44.7786632560649
honore,20.683796190262623,28.920154549758085,252.69824632464505,280.59992240436253,365.408887105124,212.53012748461168,722.2469229153663,0.0,745.8766729133855,680.1683093815109
gilberte,71.20154577658334,70.05443472244373,25.017388572270747,57.99803544815648,738.5241931946478,809.2071685754509,360.94100139204403,745.8766729133855,0.0,465.0526479746505
fouchard,68.0627504065961,37.99943058416476,95.26206686951505,297.1094353556025,1028.7908785615018,799.3408918534733,44.7786632560649,680.1683093815109,465.0526479746505,0.0
