,velchaninoff,pavel pavlovitch,zina,maria alexandrovna,liza,mosgliakoff,pavel,alexey ivanovitch,paul,prince
velchaninoff,0.0,2.2358669808888103,325.20052542560813,361.91716812032223,5.171081684296557,886.4413276379449,3.978845335459512,4.530070835995442,1491.9965820594039,1692.1453286103963
pavel pavlovitch,2.2358669808888103,0.0,396.60704578574826,438.76617372726975,19.989588361833533,1156.656201661956,5.515105825573222,4.811313593552665,1860.4766158753641,2201.3079312267655
zina,325.20052542560813,396.60704578574826,0.0,20.08736094838492,774.5691942725161,12.898003114110018,1569.7581920997175,1369.7872170659375,15.85953084644417,22.511233386566513
maria alexandrovna,361.91716812032223,438.76617372726975,20.08736094838492,0.0,918.0251275084189,5.77519614952837,1734.308193104527,1560.2505702687406,7.184713957415801,18.160780483208377
liza,5.171081684296557,19.989588361833533,774.5691942725161,918.0251275084189,0.0,1389.6903359935711,579.5753055189946,215.58820648233163,2168.2756565746663,2599.3814825971076
mosgliakoff,886.4413276379449,1156.656201661956,12.898003114110018,5.77519614952837,1389.6903359935711,0.0,2159.39874251466,1949.763621732009,63.280676920504476,104.0752705772358
pavel,3.978845335459512,5.515105825573222,1569.7581920997175,1734.308193104527,579.5753055189946,2159.39874251466,0.0,405.2842399774769,3269.1198202186015,4094.554717973139
alexey ivanovitch,4.530070835995442,4.811313593552665,1369.7872170659375,1560.2505702687406,215.58820648233163,1949.763621732009,405.2842399774769,0.0,2718.7256884930307,3191.3394068361545
paul,1491.9965820594039,1860.4766158753641,15.85953084644417,7.184713957415801,2168.2756565746663,63.280676920504476,3269.1198202186015,2718.7256884930307,0.0,269.18378458379806
prince,1692.1453286103963,2201.3079312267655,22.511233386566513,18.160780483208377,2599.3814825971076,104.0752705772358,4094.554717973139,3191.3394068361545,269.18378458379806,0.0
