,pierre,benedetta,dario,nani,don vigilio,narcisse,leo xiii,victorine,donna serafina,boccanera
pierre,0.0,1.335282918694311,1.260111965894213,0.7494002196263416,0.41231384977683994,0.4900332174356334,0.7170417459545727,0.8653403159010448,1.0009440740565716,0.8641860199353302
benedetta,1.335282918694311,0.0,4.6114475383124764,23.741769667074436,21.62060534780015,33.36348368794237,27.79303567463552,15.058549342278946,5.640803590959371,32.78704759559127
dario,1.260111965894213,4.6114475383124764,0.0,36.54842612627935,37.782493140927805,40.91031813285397,43.22348477372917,33.96478230380233,18.01702835890754,59.76254149944154
nani,0.7494002196263416,23.741769667074436,36.54842612627935,0.0,52.526258951368916,94.11026536881732,75.94638319317338,78.14263992695521,34.265383370699745,34.71685782821417
don vigilio,0.41231384977683994,21.62060534780015,37.782493140927805,52.526258951368916,0.0,189.7155283823738,88.72139305594025,54.92962650021032,35.2944534922945,28.631970448093654
narcisse,0.4900332174356334,33.36348368794237,40.91031813285397,94.11026536881732,189.7155283823738,0.0,137.38171625935826,209.39003962584388,128.83737503150377,171.51817888366946
leo xiii,0.7170417459545727,27.79303567463552,43.22348477372917,75.94638319317338,88.72139305594025,137.38171625935826,0.0,65.09694967959021,80.99856017337956,104.91952620603828
victorine,0.8653403159010448,15.058549342278946,33.96478230380233,78.14263992695521,54.92962650021032,209.39003962584388,65.09694967959021,0.0,90.40149395096348,113.27084312330183
donna serafina,1.0009440740565716,5.640803590959371,18.01702835890754,34.265383370699745,35.2944534922945,128.83737503150377,80.99856017337956,90.40149395096348,0.0,82.3890937466095
boccanera,0.8641860199353302,32.78704759559127,59.76254149944154,34.71685782821417,28.631970448093654,171.51817888366946,104.91952620603828,113.27084312330183,82.3890937466095,0.0
