,hugh,barnaby,john,joe,haredale,dolly,dennis,miggs,tappertit,chester
hugh,0.0,18.76198772909796,16.057673614453254,52.041908880739825,13.022475860286852,19.64146090384849,1.9321488948723549,24.615762557570736,17.730396892475497,29.246681184957776
barnaby,18.76198772909796,0.0,25.144171027051375,41.37135019536561,24.531552199966526,38.61102886861988,17.684959379244308,17.510252250386028,30.61537665027159,99.50058862645845
john,16.057673614453254,25.144171027051375,0.0,41.23165361552325,14.787354440980494,35.9844425978504,58.84352163259678,24.825075570417635,28.278217576930864,60.58399135630181
joe,52.041908880739825,41.37135019536561,41.23165361552325,0.0,44.8113540271279,19.08435075472187,114.3897138370033,34.73973820064304,53.55715484654961,31.446200097444493
haredale,13.022475860286852,24.531552199966526,14.787354440980494,44.8113540271279,0.0,28.951771837588776,75.31857875258592,24.45336879307296,29.77161746238118,35.20366069192197
dolly,19.64146090384849,38.61102886861988,35.9844425978504,19.08435075472187,28.951771837588776,0.0,90.77397433773554,23.81758303986309,45.278720517702126,46.54078251585997
dennis,1.9321488948723549,17.684959379244308,58.84352163259678,114.3897138370033,75.31857875258592,90.77397433773554,0.0,116.05907103241044,200.876750465167,286.3474230260684
miggs,24.615762557570736,17.510252250386028,24.825075570417635,34.73973820064304,24.45336879307296,23.81758303986309,116.05907103241044,0.0,55.9785492513063,147.3447077472863
tappertit,17.730396892475497,30.61537665027159,28.278217576930864,53.55715484654961,29.77161746238118,45.278720517702126,200.876750465167,55.9785492513063,0.0,95.38454767982367
chester,29.246681184957776,99.50058862645845,60.58399135630181,31.446200097444493,35.20366069192197,46.54078251585997,286.3474230260684,147.3447077472863,95.38454767982367,0.0
