,richard,george,jarndyce,guppy,snagsby,bucket,tulkinghorn,charley,ada,bagnet
richard,0.0,37.94808696751613,19.447741994457516,25.33192701560578,30.094662500195362,72.1453315518786,22.499682779811614,45.7844476331489,2.0306649455031813,48.148757886827745
george,37.94808696751613,0.0,109.8149300216201,44.50740070251551,53.533292644654146,57.56146799102826,53.10072680291227,35.93052053694372,92.23165852007848,6.945475711019872
jarndyce,19.447741994457516,109.8149300216201,0.0,56.9929092494376,56.43237857042941,199.61834762746886,40.131149817351414,96.37024931415974,6.675201394459355,130.02922645159808
guppy,25.33192701560578,44.50740070251551,56.9929092494376,0.0,33.856415342620885,157.77458939476855,40.61569718855368,35.22476596406014,49.11832927560438,73.14304291975186
snagsby,30.094662500195362,53.533292644654146,56.43237857042941,33.856415342620885,0.0,217.92683150699614,35.8753703930406,61.75242600788076,45.74696349168446,124.01376327703191
bucket,72.1453315518786,57.56146799102826,199.61834762746886,157.77458939476855,217.92683150699614,0.0,224.3283966590446,186.7715565678735,279.16789897377595,86.97093735113462
tulkinghorn,22.499682779811614,53.10072680291227,40.131149817351414,40.61569718855368,35.8753703930406,224.3283966590446,0.0,75.71984615389535,55.02906989399478,85.66787177035951
charley,45.7844476331489,35.93052053694372,96.37024931415974,35.22476596406014,61.75242600788076,186.7715565678735,75.71984615389535,0.0,131.84976827378364,93.15183422853154
ada,2.0306649455031813,92.23165852007848,6.675201394459355,49.11832927560438,45.74696349168446,279.16789897377595,55.02906989399478,131.84976827378364,0.0,200.073452103157
bagnet,48.148757886827745,6.945475711019872,130.02922645159808,73.14304291975186,124.01376327703191,86.97093735113462,85.66787177035951,93.15183422853154,200.073452103157,0.0
