,eveline,rose,damian,de lacy,raoul,wilkin flammock,fleming,gwenwyn,gillian,wilkin
eveline,0.0,5.557582009870443,34.725185450437046,12.735065572875598,17.231199811188105,25.96162105520921,25.23260879817998,208.81440628485956,13.133795746544994,44.63881371497477
rose,5.557582009870443,0.0,159.5244979708338,57.68495892313623,47.110649454315606,121.09570212407566,98.2901301518912,444.6570992543047,25.48352331342077,186.8519142822779
damian,34.725185450437046,159.5244979708338,0.0,58.85071615419638,45.92641697921085,428.4649865965745,318.42703577681567,1007.1420486762486,73.7471365302657,599.722608771868
de lacy,12.735065572875598,57.68495892313623,58.85071615419638,0.0,61.39111585096549,358.38305627074385,268.1432987432335,856.7094675664005,80.8866240010799,478.3433293873245
raoul,17.231199811188105,47.110649454315606,45.92641697921085,61.39111585096549,0.0,451.30801164040884,373.1184505392783,994.2107605765395,36.496349991381834,623.0438871486845
wilkin flammock,25.96162105520921,121.09570212407566,428.4649865965745,358.38305627074385,451.30801164040884,0.0,52.53936459103823,351.7690999391655,477.6966288541809,35.14449611846752
fleming,25.23260879817998,98.2901301518912,318.42703577681567,268.1432987432335,373.1184505392783,52.53936459103823,0.0,537.9598115448725,399.53881635989603,44.94609828726438
gwenwyn,208.81440628485956,444.6570992543047,1007.1420486762486,856.7094675664005,994.2107605765395,351.7690999391655,537.9598115448725,0.0,1177.2147204356388,354.60926199522066
gillian,13.133795746544994,25.48352331342077,73.7471365302657,80.8866240010799,36.496349991381834,477.6966288541809,399.53881635989603,1177.2147204356388,0.0,740.5618712896143
wilkin,44.63881371497477,186.8519142822779,599.722608771868,478.3433293873245,623.0438871486845,35.14449611846752,44.94609828726438,354.60926199522066,740.5618712896143,0.0
