,silvere,miette,felicite,pierre,rougon,macquart,granoux,antoine,aristide,eugene
silvere,0.0,24.391603900084593,206.7823592263905,177.4429129122056,214.3057576736362,128.17424252528724,275.84946653297163,230.77134706725303,376.65898177757447,630.7684973119271
miette,24.391603900084593,0.0,238.92269401129198,206.41208051557302,252.44558342271415,228.34520656660092,402.9035767915032,360.3726974812429,482.07516220239603,683.448706193644
felicite,206.7823592263905,238.92269401129198,0.0,79.19686239270884,148.69799502616814,92.23042984023843,40.615331038202726,136.17675998279356,20.567067849354686,51.122142419155594
pierre,177.4429129122056,206.41208051557302,79.19686239270884,0.0,246.48192371042336,63.54884316700096,40.43560249794362,61.14452944135461,23.77171086547919,53.441248223301606
rougon,214.3057576736362,252.44558342271415,148.69799502616814,246.48192371042336,0.0,149.34915700188952,38.26572365914551,427.5945334589093,227.2114483700199,530.6456433299209
macquart,128.17424252528724,228.34520656660092,92.23042984023843,63.54884316700096,149.34915700188952,0.0,193.8420626922487,191.4518962633073,201.11048968806128,402.7580129682158
granoux,275.84946653297163,402.9035767915032,40.615331038202726,40.43560249794362,38.26572365914551,193.8420626922487,0.0,714.9787464240793,338.42757571394384,673.3170546033906
antoine,230.77134706725303,360.3726974812429,136.17675998279356,61.14452944135461,427.5945334589093,191.4518962633073,714.9787464240793,0.0,498.5345614044148,353.0087302095976
aristide,376.65898177757447,482.07516220239603,20.567067849354686,23.77171086547919,227.2114483700199,201.11048968806128,338.42757571394384,498.5345614044148,0.0,311.80113357757665
eugene,630.7684973119271,683.448706193644,51.122142419155594,53.441248223301606,530.6456433299209,402.7580129682158,673.3170546033906,353.0087302095976,311.80113357757665,0.0
