,alaric,burns,burke,barnum,darley,mcfadden,brown,duffy,red mcfadden,p. t. barnum
alaric,0.0,85.69226199711068,325.3079954922395,296.06203905982085,390.6015854223389,260.5680310084919,444.0581897596627,230.55147225034705,1002.3072775381348,270.172721275018
burns,85.69226199711068,0.0,201.75274908065106,172.60959582324716,211.2555987547148,200.80349527705638,234.36452838111404,191.79957326555638,999.2106632770673,267.0761070139506
burke,325.3079954922395,201.75274908065106,0.0,26.227755941029105,224.53608151871012,289.9816097535781,52.95520635252922,450.1990679987724,656.324573449786,32.79631085471829
barnum,296.06203905982085,172.60959582324716,26.227755941029105,0.0,205.49250181973747,278.36769733843516,100.45751864814957,399.781380687039,744.3513370144119,12.216780751295119
darley,390.6015854223389,211.2555987547148,224.53608151871012,205.49250181973747,0.0,122.90277245573998,316.6939205542769,198.50935613235652,270.56414983645163,369.16432373576737
mcfadden,260.5680310084919,200.80349527705638,289.9816097535781,278.36769733843516,122.90277245573998,0.0,397.03402769718195,0.7150826073711796,11.095291852666833,743.2298481157837
brown,444.0581897596627,234.36452838111404,52.95520635252922,100.45751864814957,316.6939205542769,397.03402769718195,0.0,516.2232762311914,553.9013858558566,160.81768410605628
duffy,230.55147225034705,191.79957326555638,450.1990679987724,399.781380687039,198.50935613235652,0.7150826073711796,516.2232762311914,0.0,1512.704184151174,780.569627888057
red mcfadden,1002.3072775381348,999.2106632770673,656.324573449786,744.3513370144119,270.56414983645163,11.095291852666833,553.9013858558566,1512.704184151174,0.0,732.1345562631167
p. t. barnum,270.172721275018,267.0761070139506,32.79631085471829,12.216780751295119,369.16432373576737,743.2298481157837,160.81768410605628,780.569627888057,732.1345562631167,0.0
