,jim,tom,huck,sally,mary jane,tom sawyer,watson,dey,sid,huck finn
jim,0.0,13.107028975934572,1.9483342260128804,14.331331635043645,198.46469429718766,16.649819229287402,26.24962666251499,6.745443086675711,39.91397642800186,18.439260631276323
tom,13.107028975934572,0.0,199.9661874204988,4.916529678573953,546.5719484695936,48.76061106278505,105.72975923788239,269.38675278707416,25.790707689692464,73.7353839948445
huck,1.9483342260128804,199.9661874204988,0.0,964.0589301272198,710.7884214587402,285.8106877597151,505.26130575022444,56.90530843403597,607.4446096650491,118.59958623333135
sally,14.331331635043645,4.916529678573953,964.0589301272198,0.0,850.7069989923968,1101.8667561044117,3014.2982039687545,2108.2567047316124,99.76090085432566,1362.4122312232184
mary jane,198.46469429718766,546.5719484695936,710.7884214587402,850.7069989923968,0.0,966.1956817285371,2282.8169612885,1775.7731140885514,1905.948416104461,2131.828285286424
tom sawyer,16.649819229287402,48.76061106278505,285.8106877597151,1101.8667561044117,966.1956817285371,0.0,57.7119248152285,526.6386424107282,432.4381670801416,62.493586272389145
watson,26.24962666251499,105.72975923788239,505.26130575022444,3014.2982039687545,2282.8169612885,57.7119248152285,0.0,890.5967958969321,3586.1805085618926,1220.9692615886604
dey,6.745443086675711,269.38675278707416,56.90530843403597,2108.2567047316124,1775.7731140885514,526.6386424107282,890.5967958969321,0.0,2726.266780689811,779.2287107808314
sid,39.91397642800186,25.790707689692464,607.4446096650491,99.76090085432566,1905.948416104461,432.4381670801416,3586.1805085618926,2726.266780689811,0.0,1982.1984512013028
huck finn,18.439260631276323,73.7353839948445,118.59958623333135,1362.4122312232184,2131.828285286424,62.493586272389145,1220.9692615886604,779.2287107808314,1982.1984512013028,0.0
