,julian,bridgenorth,peveril,alice,geoffrey,lady peveril,chiffinch,charles,fenella,lance
julian,0.0,16.781423016608912,2.276560926552556,1.8063037602402576,21.005116022606934,68.87284966181383,18.28768322219725,10.581574430023123,6.293243765448865,29.215782644615057
bridgenorth,16.781423016608912,0.0,37.62980977416475,18.777349643928915,8.706863149542109,8.04276609824924,54.63505535801566,74.40326071780103,56.05959277562475,15.100278295355388
peveril,2.276560926552556,37.62980977416475,0.0,19.872209549989662,42.03036702703818,103.08943722931924,54.649181281364726,65.08075889149015,13.178494910703629,57.28327496488494
alice,1.8063037602402576,18.777349643928915,19.872209549989662,0.0,66.7746153736018,105.52163273879422,139.82971862558296,186.26343200499213,21.674262677228413,102.93516274344937
geoffrey,21.005116022606934,8.706863149542109,42.03036702703818,66.7746153736018,0.0,23.3596586369044,83.67500673188151,97.3028332177315,113.16880824530604,73.26471765473312
lady peveril,68.87284966181383,8.04276609824924,103.08943722931924,105.52163273879422,23.3596586369044,0.0,558.8857351573423,539.4952156926566,408.85545730648636,393.2872153550289
chiffinch,18.28768322219725,54.63505535801566,54.649181281364726,139.82971862558296,83.67500673188151,558.8857351573423,0.0,126.77292057226346,148.01596994217445,192.60454071012015
charles,10.581574430023123,74.40326071780103,65.08075889149015,186.26343200499213,97.3028332177315,539.4952156926566,126.77292057226346,0.0,287.0469967402172,246.89258766516068
fenella,6.293243765448865,56.05959277562475,13.178494910703629,21.674262677228413,113.16880824530604,408.85545730648636,148.01596994217445,287.0469967402172,0.0,181.30128147499153
lance,29.215782644615057,15.100278295355388,57.28327496488494,102.93516274344937,73.26471765473312,393.2872153550289,192.60454071012015,246.89258766516068,181.30128147499153,0.0
