,denise,mouret,hutin,bourdoncle,pauline,robineau,favier,madame desforges,baudu,henriette
denise,0.0,21.749595564261377,23.05906541965023,22.669507295164205,2.340809647676764,12.957881553076929,38.14254565121664,31.587713470764967,6.81886835932819,93.1439986427529
mouret,21.749595564261377,0.0,84.22365792451413,2.5008213220891955,97.58010045549855,104.8104011323123,53.37899529822526,27.81640513563716,105.09980375185083,6.456950888814373
hutin,23.05906541965023,84.22365792451413,0.0,385.98631296888806,114.51929430541975,201.63744994105184,47.39419679529988,212.06999967435019,561.1443300168684,400.62713783381065
bourdoncle,22.669507295164205,2.5008213220891955,385.98631296888806,0.0,580.9929364033094,423.29992323923136,444.01868021996717,359.5604451762869,320.7304333982739,364.5422804468102
pauline,2.340809647676764,97.58010045549855,114.51929430541975,580.9929364033094,0.0,353.6688763872462,192.51446036974332,367.65109963437584,745.8339001331628,558.4645201014928
robineau,12.957881553076929,104.8104011323123,201.63744994105184,423.29992323923136,353.6688763872462,0.0,321.97602793157785,557.2680962742702,353.5595865263972,854.412822614609
favier,38.14254565121664,53.37899529822526,47.39419679529988,444.01868021996717,192.51446036974332,321.97602793157785,0.0,245.14092015273928,686.6853545579797,382.1192521623206
madame desforges,31.587713470764967,27.81640513563716,212.06999967435019,359.5604451762869,367.65109963437584,557.2680962742702,245.14092015273928,0.0,697.1089435504173,346.6762579209834
baudu,6.81886835932819,105.09980375185083,561.1443300168684,320.7304333982739,745.8339001331628,353.5595865263972,686.6853545579797,697.1089435504173,0.0,996.6465964121277
henriette,93.1439986427529,6.456950888814373,400.62713783381065,364.5422804468102,558.4645201014928,854.412822614609,382.1192521623206,346.6762579209834,996.6465964121277,0.0
