,elizabeth,darcy,bennet,jane,bingley,wickham,collins,lydia,gardiner,lizzy
elizabeth,0.0,2.141199913529872,3.014641030996284,0.901671425039161,5.91788319036132,3.720616112834174,2.6162899092278162,3.739308254939495,1.4893040595162839,2.7680110348211158
darcy,2.141199913529872,0.0,12.633979552675633,10.291741992432321,8.256818566862057,13.134136340079916,21.065175012026437,24.803625142136518,19.933231449871194,8.192750467008077
bennet,3.014641030996284,12.633979552675633,0.0,16.60222899459489,9.579953111013866,46.17183851144473,44.342307916674095,36.76981046101902,75.38673874005377,5.542770391847321
jane,0.901671425039161,10.291741992432321,16.60222899459489,0.0,33.504211642324535,23.690086078198835,65.14327293237899,18.415058776194986,47.83601972767622,5.567168341933134
bingley,5.91788319036132,8.256818566862057,9.579953111013866,33.504211642324535,0.0,108.27066410462723,88.13253625782549,113.06813631821143,149.7999884878504,20.453517170862163
wickham,3.720616112834174,13.134136340079916,46.17183851144473,23.690086078198835,108.27066410462723,0.0,112.43609435640676,30.409763039062216,52.046504375239394,62.493660185255116
collins,2.6162899092278162,21.065175012026437,44.342307916674095,65.14327293237899,88.13253625782549,112.43609435640676,0.0,179.48434139001802,248.8580681432748,192.73871720834362
lydia,3.739308254939495,24.803625142136518,36.76981046101902,18.415058776194986,113.06813631821143,30.409763039062216,179.48434139001802,0.0,51.427815610468826,56.47490871357939
gardiner,1.4893040595162839,19.933231449871194,75.38673874005377,47.83601972767622,149.7999884878504,52.046504375239394,248.8580681432748,51.427815610468826,0.0,251.86100797114068
lizzy,2.7680110348211158,8.192750467008077,5.542770391847321,5.567168341933134,20.453517170862163,62.493660185255116,192.73871720834362,56.47490871357939,251.86100797114068,0.0
