,pickwick,sam,weller,winkle,tupman,wardle,snodgrass,bob sawyer,sammy,perker
pickwick,0.0,3.3446534169773345,2.831112926834818,3.131633947514211,2.188276839900646,1.8630770200956583,2.6698966862881477,3.642207207424446,11.023067928905308,0.6474651957452393
sam,3.3446534169773345,0.0,5.184488035124565,30.99073285351957,156.92657763235675,47.14904942391377,138.89770074596618,19.44581771611426,1.6266857953766003,16.450069187428717
weller,2.831112926834818,5.184488035124565,0.0,52.81867856240222,195.9041475231017,83.75029989953467,194.57370020696447,36.191302367854334,0.3234651891926298,28.40399449436339
winkle,3.131633947514211,30.99073285351957,52.81867856240222,0.0,35.56005835089012,38.98921282943599,5.990227602510943,41.62687290521009,65.33133450028471,61.63263273752006
tupman,2.188276839900646,156.92657763235675,195.9041475231017,35.56005835089012,0.0,251.83239761708344,44.44729782263049,789.2103681887297,714.949790324581,761.08212432015
wardle,1.8630770200956583,47.14904942391377,83.75029989953467,38.98921282943599,251.83239761708344,0.0,118.37268528319045,398.4099571505683,254.41442281429897,234.95451793602075
snodgrass,2.6698966862881477,138.89770074596618,194.57370020696447,5.990227602510943,44.44729782263049,118.37268528319045,0.0,778.4865210175808,655.3275513248847,711.7091068592879
bob sawyer,3.642207207424446,19.44581771611426,36.191302367854334,41.62687290521009,789.2103681887297,398.4099571505683,778.4865210175808,0.0,149.0862444542214,102.39181119111751
sammy,11.023067928905308,1.6266857953766003,0.3234651891926298,65.33133450028471,714.949790324581,254.41442281429897,655.3275513248847,149.0862444542214,0.0,131.46309357627092
perker,0.6474651957452393,16.450069187428717,28.40399449436339,61.63263273752006,761.08212432015,234.95451793602075,711.7091068592879,102.39181119111751,131.46309357627092,0.0
