,hugh,barnaby,john,joe,haredale,dolly,dennis,miggs,tappertit,chester
hugh,0.0,36.804546972777466,31.86427634853157,102.82825562921143,26.64476744711663,40.533775329673766,4.260563594400206,51.97463014092918,36.16671053756757,62.287191598467274
barnaby,36.804546972777466,0.0,51.428789853284115,82.886567283686,50.89090280679045,78.19185677087319,38.85673436694776,37.66821479700382,65.3909108011785,215.5958901843133
john,31.86427634853157,51.428789853284115,0.0,82.32321822931799,30.963999592484434,74.18034333965865,128.2789386346203,53.850682509846855,60.15906302118449,131.16460704813204
joe,102.82825562921143,82.886567283686,82.32321822931799,0.0,92.43738422712228,39.57862009649184,244.37881328073286,75.0640519181467,115.23135086731999,66.8502138985971
haredale,26.64476744711663,50.89090280679045,30.963999592484434,92.43738422712228,0.0,59.73630154022226,162.9843180095881,51.928986806896354,62.597057474829974,75.84629155620274
dolly,40.533775329673766,78.19185677087319,74.18034333965865,39.57862009649184,59.73630154022226,0.0,193.91443644651005,50.330991251361944,96.15190273713186,97.98760551186888
dennis,4.260563594400206,38.85673436694776,128.2789386346203,244.37881328073286,162.9843180095881,193.91443644651005,0.0,250.3821936531334,437.1578640579303,629.160527778164
miggs,51.97463014092918,37.66821479700382,53.850682509846855,75.0640519181467,51.928986806896354,50.330991251361944,250.3821936531334,0.0,123.30468764524906,321.0125397992622
tappertit,36.16671053756757,65.3909108011785,60.15906302118449,115.23135086731999,62.597057474829974,96.15190273713186,437.1578640579303,123.30468764524906,0.0,204.55464066509734
chester,62.287191598467274,215.5958901843133,131.16460704813204,66.8502138985971,75.84629155620274,97.98760551186888,629.160527778164,321.0125397992622,204.55464066509734,0.0
