,claude,christine,jory,mahoudeau,fagerolles,dubuche,bongrand,gagniere,sandoz,mathilde
claude,0.0,1.0388731888331275,3.7132284098668134,4.599276385285957,5.124018259193732,4.696693420078261,21.262329864890656,6.023149731244657,4.701522751204854,14.736477185485985
christine,1.0388731888331275,0.0,109.21567862459611,84.09960227661522,148.19301017659532,116.68065300151176,197.32616417096958,115.64530276332371,120.69274759594818,165.37756154334403
jory,3.7132284098668134,109.21567862459611,0.0,73.14498312114117,149.15076120687368,250.5604831508755,175.97284334593448,45.15561124452034,144.6520304761365,17.850889317003166
mahoudeau,4.599276385285957,84.09960227661522,73.14498312114117,0.0,167.8866144972768,338.4020520348382,270.091221462029,76.85565741730241,153.05769173716257,31.344341209551807
fagerolles,5.124018259193732,148.19301017659532,149.15076120687368,167.8866144972768,0.0,494.43951137690965,104.15552833857627,50.812649095809086,162.1160166217515,157.987549656657
dubuche,4.696693420078261,116.68065300151176,250.5604831508755,338.4020520348382,494.43951137690965,0.0,588.4255905046756,220.57427632352972,124.24294000988881,372.6961439382115
bongrand,21.262329864890656,197.32616417096958,175.97284334593448,270.091221462029,104.15552833857627,588.4255905046756,0.0,329.86807742109636,526.4795507967757,578.0067927727068
gagniere,6.023149731244657,115.64530276332371,45.15561124452034,76.85565741730241,50.812649095809086,220.57427632352972,329.86807742109636,0.0,408.2580335693136,356.12867379350286
sandoz,4.701522751204854,120.69274759594818,144.6520304761365,153.05769173716257,162.1160166217515,124.24294000988881,526.4795507967757,408.2580335693136,0.0,262.7185131659804
mathilde,14.736477185485985,165.37756154334403,17.850889317003166,31.344341209551807,157.987549656657,372.6961439382115,578.0067927727068,356.12867379350286,262.7185131659804,0.0
