,cedric,rebecca,de bracy,rowena,isaac,saxon,gurth,john,richard,wamba
cedric,0.0,63.74695458050067,18.977078476173425,5.909066628917287,28.65717488142882,2.5532309005655867,32.41438484525857,44.70878237681887,41.48070889867366,6.457501097461079
rebecca,63.74695458050067,0.0,22.830560204299413,48.031361070970156,34.32159843108265,58.34429643295168,129.4061922380254,100.80044955492116,28.065113578711696,62.942689917467135
de bracy,18.977078476173425,22.830560204299413,0.0,63.7735922809337,35.17168196017529,63.85514131067682,130.25828503757592,91.62691761726266,119.5856348485571,79.29671103937663
rowena,5.909066628917287,48.031361070970156,63.7735922809337,0.0,45.373785271946296,16.927978787030238,60.32985241429578,60.08474042449727,85.18008585921355,28.806694872869983
isaac,28.65717488142882,34.32159843108265,35.17168196017529,45.373785271946296,0.0,63.134297192766276,102.8764502196086,67.94348492713529,110.31164017021553,55.237425608455666
saxon,2.5532309005655867,58.34429643295168,63.85514131067682,16.927978787030238,63.134297192766276,0.0,61.55335661336232,79.44915000754607,116.3810196269938,23.5985946959933
gurth,32.41438484525857,129.4061922380254,130.25828503757592,60.32985241429578,102.8764502196086,61.55335661336232,0.0,45.05809665755918,259.888675469141,107.44425979893315
john,44.70878237681887,100.80044955492116,91.62691761726266,60.08474042449727,67.94348492713529,79.44915000754607,45.05809665755918,0.0,236.27499697165882,118.54812283166203
richard,41.48070889867366,28.065113578711696,119.5856348485571,85.18008585921355,110.31164017021553,116.3810196269938,259.888675469141,236.27499697165882,0.0,180.05864379791782
wamba,6.457501097461079,62.942689917467135,79.29671103937663,28.806694872869983,55.237425608455666,23.5985946959933,107.44425979893315,118.54812283166203,180.05864379791782,0.0
