,catherine,tilney,isabella,allen,thorpe,morland,henry,eleanor,james,john
catherine,0.0,0.760922158078401,0.9148546758075106,1.6281404441106502,1.2535236556208884,1.2101474615771712,1.3187177764588438,1.957610697822347,0.8138615838745282,4.947134188225011
tilney,0.760922158078401,0.0,19.097573959867216,31.47212310204697,14.134237100862036,28.829332223975616,81.73061339837041,89.64702884966384,8.684939409364212,24.39368362965619
isabella,0.9148546758075106,19.097573959867216,0.0,70.71074777527893,44.16622740470243,39.7681829953422,148.94421736353237,187.8561068458791,2.0150968426693865,6.182748819261749
allen,1.6281404441106502,31.47212310204697,70.71074777527893,0.0,17.73549206022558,88.44603082061005,261.54393791835474,309.0865857904428,38.78396779812322,57.81236698280896
thorpe,1.2535236556208884,14.134237100862036,44.16622740470243,17.73549206022558,0.0,94.87575108058861,272.3665930466776,330.0198316240598,9.913499549164701,37.474409759927696
morland,1.2101474615771712,28.829332223975616,39.7681829953422,88.44603082061005,94.87575108058861,0.0,115.75519058142105,115.69355004269808,19.326541032257847,39.03398993898323
henry,1.3187177764588438,81.73061339837041,148.94421736353237,261.54393791835474,272.3665930466776,115.75519058142105,0.0,17.034294246110203,219.8175540282545,347.28559137653605
eleanor,1.957610697822347,89.64702884966384,187.8561068458791,309.0865857904428,330.0198316240598,115.69355004269808,17.034294246110203,0.0,426.25897587790905,1121.0496089817739
james,0.8138615838745282,8.684939409364212,2.0150968426693865,38.78396779812322,9.913499549164701,19.326541032257847,219.8175540282545,426.25897587790905,0.0,37.165435742603705
john,4.947134188225011,24.39368362965619,6.182748819261749,57.81236698280896,37.474409759927696,39.03398993898323,347.28559137653605,1121.0496089817739,37.165435742603705,0.0
