,zverkov,simonov,liza,ferfitchkin,trudolyubov,anton antonitch,heine,olympia,stenka razins,shakespeare
zverkov,0.0,28.561440691135694,375.22554954392393,3.724726365186616,3.4786001638140474,159.57181065674934,2844.4023394374917,8.837359069806153,7472.197135277903,27.980740698407864
simonov,28.561440691135694,0.0,356.3287255906655,15.354530583194586,10.586629610853137,101.50107539139785,2655.7168093344585,80.51221027119708,7177.479937247994,180.02088916723187
liza,375.22554954392393,356.3287255906655,0.0,498.72205130079504,537.3869054365772,1366.0814430709993,6997.665500268093,1345.566102147454,13507.278344013377,2345.0478232283235
ferfitchkin,3.724726365186616,15.354530583194586,498.72205130079504,0.0,6.706738488035137,413.03812382947297,3158.801944515971,61.70186723567906,7898.637003843248,152.01814988230797
trudolyubov,3.4786001638140474,10.586629610853137,537.3869054365772,6.706738488035137,0.0,444.308914545719,3139.6378382590424,56.46492603296704,7909.986061922345,186.90161343248093
anton antonitch,159.57181065674934,101.50107539139785,1366.0814430709993,413.03812382947297,444.308914545719,0.0,2085.3252357973047,1621.924299063242,6056.246839523634,2014.0858489888976
heine,2844.4023394374917,2655.7168093344585,6997.665500268093,3158.801944515971,3139.6378382590424,2085.3252357973047,0.0,5644.109770279423,3218.9961944658335,7904.058798787627
olympia,8.837359069806153,80.51221027119708,1345.566102147454,61.70186723567906,56.46492603296704,1621.924299063242,5644.109770279423,0.0,11627.504159318612,478.572668628811
stenka razins,7472.197135277903,7177.479937247994,13507.278344013377,7898.637003843248,7909.986061922345,6056.246839523634,3218.9961944658335,11627.504159318612,0.0,11143.849154454918
shakespeare,27.980740698407864,180.02088916723187,2345.0478232283235,152.01814988230797,186.90161343248093,2014.0858489888976,7904.058798787627,478.572668628811,11143.849154454918,0.0
