,hobbie,ratcliffe,ellieslaw,isabella,earnscliff,mareschal,frederick,elshie,vere,elliot
hobbie,0.0,86.87246278152101,68.92753420230603,83.21265018613772,7.200177433445427,77.18726677507804,78.95101880271447,5.088391797405585,74.82028970013336,1.9836993864932042
ratcliffe,86.87246278152101,0.0,16.288273121851873,11.799262469275984,195.66416537198648,15.728757149233395,13.680682127664586,168.84032534111927,8.671926557074348,169.07771280929464
ellieslaw,68.92753420230603,16.288273121851873,0.0,29.242586976245107,187.89314056212064,7.026293757202528,4.607721232895694,156.91379563265036,13.229395262328831,158.38756367641557
isabella,83.21265018613772,11.799262469275984,29.242586976245107,0.0,210.21886668868626,37.754746279449606,18.47884796244696,174.22382872951653,39.47099397496679,177.58051524871846
earnscliff,7.200177433445427,195.66416537198648,187.89314056212064,210.21886668868626,0.0,207.10467790594208,204.33495801341914,46.73859348105446,166.0870070029454,30.12194995907847
mareschal,77.18726677507804,15.728757149233395,7.026293757202528,37.754746279449606,207.10467790594208,0.0,12.172763338348839,182.91476948733305,17.758146606870064,194.6859508455868
frederick,78.95101880271447,13.680682127664586,4.607721232895694,18.47884796244696,204.33495801341914,12.172763338348839,0.0,191.15573094216148,20.057969495178714,192.26851269383977
elshie,5.088391797405585,168.84032534111927,156.91379563265036,174.22382872951653,46.73859348105446,182.91476948733305,191.15573094216148,0.0,172.98412917649236,28.555367252726242
vere,74.82028970013336,8.671926557074348,13.229395262328831,39.47099397496679,166.0870070029454,17.758146606870064,20.057969495178714,172.98412917649236,0.0,194.76255419017906
elliot,1.9836993864932042,169.07771280929464,158.38756367641557,177.58051524871846,30.12194995907847,194.6859508455868,192.26851269383977,28.555367252726242,194.76255419017906,0.0
