,elinor,marianne,edward,jennings,willoughby,dashwood,lucy,brandon,john,ferrars
elinor,0.0,4.870403826415749,4.127490277333213,1.4377996245157563,3.7786610218086576,2.4021641696641463,4.408691670046407,2.1184271976426583,7.426665465013626,2.7430900785790815
marianne,4.870403826415749,0.0,15.477414773742888,6.2973620559935375,2.018550153222203,4.493902159036714,31.03010743485577,8.09980900474172,14.370931338512023,21.759659133745103
edward,4.127490277333213,15.477414773742888,0.0,82.41214793328272,147.90266260536092,87.89887228013097,24.157538448766044,52.5390607357973,62.84053483455354,9.366286331915939
jennings,1.4377996245157563,6.2973620559935375,82.41214793328272,0.0,137.87802967546463,114.60642100985254,79.81850469818562,51.91834435705244,110.9135790893968,70.44808388191613
willoughby,3.7786610218086576,2.018550153222203,147.90266260536092,137.87802967546463,0.0,75.79114320065422,207.96417926827587,103.71342095008949,71.12884534119291,226.6569941106906
dashwood,2.4021641696641463,4.493902159036714,87.89887228013097,114.60642100985254,75.79114320065422,0.0,155.11255828556153,39.57860583593185,47.76585639149635,92.51612994438072
lucy,4.408691670046407,31.03010743485577,24.157538448766044,79.81850469818562,207.96417926827587,155.11255828556153,0.0,145.78341176384566,317.08769609294967,23.363206127664732
brandon,2.1184271976426583,8.09980900474172,52.5390607357973,51.91834435705244,103.71342095008949,39.57860583593185,145.78341176384566,0.0,290.97627570436345,119.96617253225835
john,7.426665465013626,14.370931338512023,62.84053483455354,110.9135790893968,71.12884534119291,47.76585639149635,317.08769609294967,290.97627570436345,0.0,770.2520974432344
ferrars,2.7430900785790815,21.759659133745103,9.366286331915939,70.44808388191613,226.6569941106906,92.51612994438072,23.363206127664732,119.96617253225835,770.2520974432344,0.0
