,jack,barlow,titbull,testator,flipfield,pangloss,grazinglands,battens,klem,mitts
jack,0.0,7703.4742750774785,11368.097097529566,6226.130634046478,9826.35800392646,2081.231498899626,525.8712031775569,16965.66501509405,10230.190381518381,19593.928447941198
barlow,7703.4742750774785,0.0,2356.387534413339,13352.30645334186,9871.897926356287,20267.90117854444,21812.83995710305,3780.1539425023884,17325.480596186582,4055.0983363695173
titbull,11368.097097529566,2356.387534413339,0.0,10201.2981228928,6504.3225759549,16658.35440660036,18202.906530539574,101.38682072098787,12736.22228754235,72.11490103102318
testator,6226.130634046478,13352.30645334186,10201.2981228928,0.0,4334.891232165815,5064.968810506375,6610.245854261394,12492.546258406239,1686.5646801377395,14958.526111154977
flipfield,9826.35800392646,9871.897926356287,6504.3225759549,4334.891232165815,0.0,9712.406495486253,11257.559459894452,7526.54671776921,4058.060607676212,9156.36297548933
pangloss,2081.231498899626,20267.90117854444,16658.35440660036,5064.968810506375,9712.406495486253,0.0,1542.2999193081444,17955.712358080767,8067.42297489653,21337.311259795526
grazinglands,525.8712031775569,21812.83995710305,18202.906530539574,6610.245854261394,11257.559459894452,1542.2999193081444,0.0,19625.958800302255,10048.447273269005,23318.189638308264
battens,16965.66501509405,3780.1539425023884,101.38682072098787,12492.546258406239,7526.54671776921,17955.712358080767,19625.958800302255,0.0,12837.43056235897,258.8679211423792
klem,10230.190381518381,17325.480596186582,12736.22228754235,1686.5646801377395,4058.060607676212,8067.42297489653,10048.447273269005,12837.43056235897,0.0,13268.732388297476
mitts,19593.928447941198,4055.0983363695173,72.11490103102318,14958.526111154977,9156.36297548933,21337.311259795526,23318.189638308264,258.8679211423792,13268.732388297476,0.0
