,rougon,clorinde,m. kahn,du poizat,delestang,gilquin,madame correur,m. la rouquette,m. béjuin,merle
rougon,0.0,1.1594402352205297,2.616383464026075,1.5322686636470622,0.7549182013032182,9.64845240702698,3.291544723393573,6.163788318628902,2.164996562111884,1.0505363592862424
clorinde,1.1594402352205297,0.0,33.31842471999706,36.99978029492497,12.100580936824713,59.99309523847365,26.180285677898876,21.010725784190495,29.793673430445107,59.3151390686636
m. kahn,2.616383464026075,33.31842471999706,0.0,76.08898143667766,75.14723921775067,87.91095350895554,31.63470801232342,67.32959685730361,2.7695013582104844,48.01662237754404
du poizat,1.5322686636470622,36.99978029492497,76.08898143667766,0.0,80.16036744239004,98.89247012501663,70.10358195472095,196.20289793037412,95.46525956779509,62.76447059354947
delestang,0.7549182013032182,12.100580936824713,75.14723921775067,80.16036744239004,0.0,133.77997546192162,85.30336546786678,80.16414184678354,82.568679831798,130.3136073850933
gilquin,9.64845240702698,59.99309523847365,87.91095350895554,98.89247012501663,133.77997546192162,0.0,78.4268851567126,328.44215433250406,269.9703971332211,195.938064984333
madame correur,3.291544723393573,26.180285677898876,31.63470801232342,70.10358195472095,85.30336546786678,78.4268851567126,0.0,245.93367283497227,131.84716687533114,162.71538958290998
m. la rouquette,6.163788318628902,21.010725784190495,67.32959685730361,196.20289793037412,80.16414184678354,328.44215433250406,245.93367283497227,0.0,187.86655785337732,317.2557967840986
m. béjuin,2.164996562111884,29.793673430445107,2.7695013582104844,95.46525956779509,82.568679831798,269.9703971332211,131.84716687533114,187.86655785337732,0.0,215.6457044275085
merle,1.0505363592862424,59.3151390686636,48.01662237754404,62.76447059354947,130.3136073850933,195.938064984333,162.71538958290998,317.2557967840986,215.6457044275085,0.0
