,tom,huck,joe,becky,sid,mary,polly,tom sawyer,potter,thatcher
tom,0.0,0.9239674651518569,0.5271667667855984,0.19753974248594106,0.2460685340806426,0.8306137665939073,0.5785322619141167,1.6197473989583313,6.056300354644114,3.1815087990181947
huck,0.9239674651518569,0.0,18.876594395225943,17.185939078809742,71.78111641861112,84.53672903243883,55.81374048303499,19.176280624129294,33.154656090682984,14.619367969468746
joe,0.5271667667855984,18.876594395225943,0.0,56.110026853969934,51.19137904339854,70.44722271321018,55.3253184870067,38.20741465614042,16.591645300341852,41.334635356960355
becky,0.19753974248594106,17.185939078809742,56.110026853969934,0.0,180.53963420144942,149.86603207822372,85.09394896007159,32.38562318951258,107.4677820461134,9.825758317992047
sid,0.2460685340806426,71.78111641861112,51.19137904339854,180.53963420144942,0.0,9.670293852840969,13.518766501566473,37.146943057539865,80.23929117983194,228.5370765810265
mary,0.8306137665939073,84.53672903243883,70.44722271321018,149.86603207822372,9.670293852840969,0.0,74.82257850716094,169.37594095587565,215.2784599311279,476.23203591990824
polly,0.5785322619141167,55.81374048303499,55.3253184870067,85.09394896007159,13.518766501566473,74.82257850716094,0.0,99.06301704562915,234.2833112329245,358.0075020942444
tom sawyer,1.6197473989583313,19.176280624129294,38.20741465614042,32.38562318951258,37.146943057539865,169.37594095587565,99.06301704562915,0.0,259.06782664398236,258.42752368616027
potter,6.056300354644114,33.154656090682984,16.591645300341852,107.4677820461134,80.23929117983194,215.2784599311279,234.2833112329245,259.06782664398236,0.0,571.9943146325768
thatcher,3.1815087990181947,14.619367969468746,41.334635356960355,9.825758317992047,228.5370765810265,476.23203591990824,358.0075020942444,258.42752368616027,571.9943146325768,0.0
