,berthe,auguste,madame josserand,duveyrier,trublot,bachelard,monsieur josserand,hortense,clotilde,marie
berthe,0.0,18.883988730137965,5.372201156321654,38.800079843753686,22.337036113211525,49.15677364948813,8.818198526141186,2.595154481218674,36.538421223759244,77.35473865862554
auguste,18.883988730137965,0.0,368.0780189468508,65.87357753639637,288.3803160016389,106.37839480929779,390.2266071536273,359.7781143248392,76.8873615094769,347.8437384880244
madame josserand,5.372201156321654,368.0780189468508,0.0,136.45668073117469,84.86912214836083,102.4492193796572,14.225514081329745,8.269198515896333,157.43959430532215,172.62803441617316
duveyrier,38.800079843753686,65.87357753639637,136.45668073117469,0.0,463.66716872224407,156.41218609610584,506.36366485695305,473.9753314500668,97.01217476820666,393.14201711655966
trublot,22.337036113211525,288.3803160016389,84.86912214836083,463.66716872224407,0.0,226.98804501098604,150.86754289280844,175.81990990285217,366.56045447003777,159.19323753820566
bachelard,49.15677364948813,106.37839480929779,102.4492193796572,156.41218609610584,226.98804501098604,0.0,423.9299424363403,314.4312192508703,345.5261698076365,312.81772336212674
monsieur josserand,8.818198526141186,390.2266071536273,14.225514081329745,506.36366485695305,150.86754289280844,423.9299424363403,0.0,64.96835644377146,694.9230877169281,277.10724066314395
hortense,2.595154481218674,359.7781143248392,8.269198515896333,473.9753314500668,175.81990990285217,314.4312192508703,64.96835644377146,0.0,989.0944123597701,408.3320922559905
clotilde,36.538421223759244,76.8873615094769,157.43959430532215,97.01217476820666,366.56045447003777,345.5261698076365,694.9230877169281,989.0944123597701,0.0,1057.599763208641
marie,77.35473865862554,347.8437384880244,172.62803441617316,393.14201711655966,159.19323753820566,312.81772336212674,277.10724066314395,408.3320922559905,1057.599763208641,0.0
