,john,caleb,tackleton,bertha,peerybingle,tilly,john peerybingle,boxer,slowboy,edward
john,0.0,30.558418978406625,45.152224698647565,39.5057488301954,30.956148492432114,32.680033298891075,24.011529783662247,16.388051413844135,14.413758602308404,33.5127260146356
caleb,30.558418978406625,0.0,24.115801407945906,6.776316570501093,126.77339635956031,43.66387353049223,38.95819053066476,51.285066889536644,39.84626994049712,67.5474045668312
tackleton,45.152224698647565,24.115801407945906,0.0,22.071244139614713,135.41939531702747,39.202072566884134,10.907573745697071,56.20846009049441,53.033139069713094,82.73235744642264
bertha,39.5057488301954,6.776316570501093,22.071244139614713,0.0,329.1890765039404,120.47935208873842,61.946784735502845,154.01093241367394,163.7403532283541,104.1017563157402
peerybingle,30.956148492432114,126.77339635956031,135.41939531702747,329.1890765039404,0.0,343.79471388832644,581.7175497106261,153.04792133698973,124.04242814218415,1239.6871554722943
tilly,32.680033298891075,43.66387353049223,39.202072566884134,120.47935208873842,343.79471388832644,0.0,251.74338608899635,137.06014692913988,109.89853345952359,659.8341083263025
john peerybingle,24.011529783662247,38.95819053066476,10.907573745697071,61.946784735502845,581.7175497106261,251.74338608899635,0.0,481.50975129478724,277.40246543711993,314.7252596113109
boxer,16.388051413844135,51.285066889536644,56.20846009049441,154.01093241367394,153.04792133698973,137.06014692913988,481.50975129478724,0.0,148.0295771899277,1312.3260482526064
slowboy,14.413758602308404,39.84626994049712,53.033139069713094,163.7403532283541,124.04242814218415,109.89853345952359,277.40246543711993,148.0295771899277,0.0,1000.4038492378562
edward,33.5127260146356,67.5474045668312,82.73235744642264,104.1017563157402,1239.6871554722943,659.8341083263025,314.7252596113109,1312.3260482526064,1000.4038492378562,0.0
