,buteau,jean,françoise,lise,fouan,hyacinthe,delhomme,hourdequin,macqueron,jacqueline
buteau,0.0,7.82659397333862,2.7093805592878253,4.646712135596263,1.5818598339097167,3.1004354055801544,2.035796907175954,13.557293993230315,9.683738689045787,15.970960082549949
jean,7.82659397333862,0.0,3.1453635905724404,3.773519539795427,10.265192821762172,18.83593236673315,7.970304134585259,10.544138419160884,19.99586344660695,2.9993894311857217
françoise,2.7093805592878253,3.1453635905724404,0.0,13.179161636120865,13.327168170814653,21.761040030941302,14.792721160509487,14.194770218019785,19.380142137662435,13.549505307208275
lise,4.646712135596263,3.773519539795427,13.179161636120865,0.0,22.457073828153153,30.12636653341973,16.661387376790035,17.87632123579318,23.793258800643066,15.71347763726856
fouan,1.5818598339097167,10.265192821762172,13.327168170814653,22.457073828153153,0.0,19.054429795715357,11.095688314003882,36.07621860148244,22.201233424885135,36.280929792089246
hyacinthe,3.1004354055801544,18.83593236673315,21.761040030941302,30.12636653341973,19.054429795715357,0.0,27.302956082180874,37.11750226402422,17.55536236437188,61.55558577920681
delhomme,2.035796907175954,7.970304134585259,14.792721160509487,16.661387376790035,11.095688314003882,27.302956082180874,0.0,50.6475693672757,29.501959253162592,52.33665926229583
hourdequin,13.557293993230315,10.544138419160884,14.194770218019785,17.87632123579318,36.07621860148244,37.11750226402422,50.6475693672757,0.0,36.366740230399536,56.19217856574431
macqueron,9.683738689045787,19.99586344660695,19.380142137662435,23.793258800643066,22.201233424885135,17.55536236437188,29.501959253162592,36.366740230399536,0.0,135.99464934271236
jacqueline,15.970960082549949,2.9993894311857217,13.549505307208275,15.71347763726856,36.280929792089246,61.55558577920681,52.33665926229583,56.19217856574431,135.99464934271236,0.0
