,richard,george,jarndyce,guppy,snagsby,bucket,tulkinghorn,charley,ada,bagnet
richard,0.0,77.56763368460788,36.808438389536406,53.0317186542345,62.451124990479244,161.09589058303104,47.21952766475509,100.59261139338966,4.1649546926359164,109.68068860170516
george,77.56763368460788,0.0,218.16477487244248,92.08479450115622,110.6070500859081,128.39513383792,110.65227183871224,78.47965982729232,191.06251088191746,15.824887880670499
jarndyce,36.808438389536406,218.16477487244248,0.0,115.17717605831434,115.7305677079603,431.5966168919589,85.55720616940944,209.09733889228872,14.029302010020743,290.083882199772
guppy,53.0317186542345,92.08479450115622,115.17717605831434,0.0,70.16499144930295,347.7470200641631,85.73083832456929,77.53431718261739,101.69535466251426,166.09339391508792
snagsby,62.451124990479244,110.6070500859081,115.7305677079603,70.16499144930295,0.0,475.8485273920857,75.5544694909991,134.4171314170849,93.92291305884174,277.1764387636429
bucket,161.09589058303104,128.39513383792,431.5966168919589,347.7470200641631,475.8485273920857,0.0,486.46412371095664,416.8848337339886,605.0859082309382,198.2831419807264
tulkinghorn,47.21952766475509,110.65227183871224,85.55720616940944,85.73083832456929,75.5544694909991,486.46412371095664,0.0,163.73688655291218,114.14280225370825,190.82871168692256
charley,100.59261139338966,78.47965982729232,209.09733889228872,77.53431718261739,134.4171314170849,416.8848337339886,163.73688655291218,0.0,276.61339916691026,210.53851625290292
ada,4.1649546926359164,191.06251088191746,14.029302010020743,101.69535466251426,93.92291305884174,605.0859082309382,114.14280225370825,276.61339916691026,0.0,436.97616449639304
bagnet,109.68068860170516,15.824887880670499,290.083882199772,166.09339391508792,277.1764387636429,198.2831419807264,190.82871168692256,210.53851625290292,436.97616449639304,0.0
