,velchaninoff,pavel pavlovitch,zina,maria alexandrovna,liza,mosgliakoff,pavel,alexey ivanovitch,paul,prince
velchaninoff,0.0,0.5826176859324589,93.9655772643481,103.85634192113464,1.0610272453977962,197.0978508985133,0.7530483956506977,0.8455750177931747,316.1856101984828,328.59952315227036
pavel pavlovitch,0.5826176859324589,0.0,112.60962962447034,123.65759649385184,4.110295639489727,252.81835438599788,1.0423590533225442,0.8946204396900312,387.54008518204574,421.01422727373534
zina,93.9655772643481,112.60962962447034,0.0,6.655000704216681,164.46951541135223,2.9949984267869567,313.86223692475915,267.09870399209314,3.807291806058729,4.583117635404453
maria alexandrovna,103.85634192113464,123.65759649385184,6.655000704216681,0.0,196.77207045661626,1.3930983928083966,349.5657224453548,306.6083565410126,1.6342320654666656,3.767984465970364
liza,1.0610272453977962,4.110295639489727,164.46951541135223,196.77207045661626,0.0,299.80715844903483,111.8991520388872,40.32533290751537,445.88936520056876,491.74533007341853
mosgliakoff,197.0978508985133,252.81835438599788,2.9949984267869567,1.3930983928083966,299.80715844903483,0.0,449.46506465116056,391.10663748323094,15.63316184842417,21.536538283749238
pavel,0.7530483956506977,1.0423590533225442,313.86223692475915,349.5657224453548,111.8991520388872,449.46506465116056,0.0,75.21225593935458,647.2452946558195,748.8288430418611
alexey ivanovitch,0.8455750177931747,0.8946204396900312,267.09870399209314,306.6083565410126,40.32533290751537,391.10663748323094,75.21225593935458,0.0,548.4056580880193,595.3998634838642
paul,316.1856101984828,387.54008518204574,3.807291806058729,1.6342320654666656,445.88936520056876,15.63316184842417,647.2452946558195,548.4056580880193,0.0,54.87981421493527
prince,328.59952315227036,421.01422727373534,4.583117635404453,3.767984465970364,491.74533007341853,21.536538283749238,748.8288430418611,595.3998634838642,54.87981421493527,0.0
