,alan,redgauntlet,darsie,alan fairford,herries,peter,fairford,joshua,nixon,darsie latimer
alan,0.0,191.05428496052315,94.27745715688262,13.711100666682439,55.434821678877675,69.7837441317043,2.867283065301745,53.42622168743516,234.84939004383955,5.633869777344353
redgauntlet,191.05428496052315,0.0,51.7727447281147,80.86456230317361,212.8716797000711,76.3218906520554,168.4134204152917,373.8300605733988,10.446655093691676,144.84233823958027
darsie,94.27745715688262,51.7727447281147,0.0,50.978169155171955,151.46255911335516,63.287402364382935,132.0510273174311,161.06428411182654,15.663305717127477,48.96806738097147
alan fairford,13.711100666682439,80.86456230317361,50.978169155171955,0.0,129.73814957173582,86.89552184925452,49.15790125592631,238.20616759923854,181.26242927203384,28.31049831071059
herries,55.434821678877675,212.8716797000711,151.46255911335516,129.73814957173582,0.0,254.96338492715822,114.1831647088363,243.8842811561232,492.3575726088384,136.0532451298988
peter,69.7837441317043,76.3218906520554,63.287402364382935,86.89552184925452,254.96338492715822,0.0,167.09344726809007,377.3854267669509,177.60070089090308,153.43588978952076
fairford,2.867283065301745,168.4134204152917,132.0510273174311,49.15790125592631,114.1831647088363,167.09344726809007,0.0,286.09955979634543,489.71998625325045,81.82784635782713
joshua,53.42622168743516,373.8300605733988,161.06428411182654,238.20616759923854,243.8842811561232,377.3854267669509,286.09955979634543,0.0,700.0638023054166,228.65917015214396
nixon,234.84939004383955,10.446655093691676,15.663305717127477,181.26242927203384,492.3575726088384,177.60070089090308,489.71998625325045,700.0638023054166,0.0,531.2433063781921
darsie latimer,5.633869777344353,144.84233823958027,48.96806738097147,28.31049831071059,136.0532451298988,153.43588978952076,81.82784635782713,228.65917015214396,531.2433063781921,0.0
