,roland,roland graeme,catherine,mary,douglas,catherine seyton,lindesay,adam woodcock,seyton,fleming
roland,0.0,37.884978288942776,15.63800447486473,7.4699833602258785,11.147087387070858,1.9783741170477576,63.60220827534544,15.017567246455124,11.349721151071499,14.61172276998674
roland graeme,37.884978288942776,0.0,52.84874254172973,40.07470485480143,48.422339413717005,2.60545188888131,48.537756412705086,4.563882803429744,71.81011858027088,21.455847562195036
catherine,15.63800447486473,52.84874254172973,0.0,21.690692386810085,10.983226841330941,16.918252242055242,150.7976864918892,146.24409980859346,39.83947489010752,6.052407937619364
mary,7.4699833602258785,40.07470485480143,21.690692386810085,0.0,20.721622095840978,26.68570779163386,126.68073558852593,177.25138068073738,14.774414121092404,6.5841289066258915
douglas,11.147087387070858,48.422339413717005,10.983226841330941,20.721622095840978,0.0,78.69965742517554,183.93950724219812,347.84613838117747,36.537468836980494,19.148151065983104
catherine seyton,1.9783741170477576,2.60545188888131,16.918252242055242,26.68570779163386,78.69965742517554,0.0,131.82550966840495,229.49584009181623,102.68550477480171,30.656535867347444
lindesay,63.60220827534544,48.537756412705086,150.7976864918892,126.68073558852593,183.93950724219812,131.82550966840495,0.0,181.37626883516438,355.01298146933857,280.028837178639
adam woodcock,15.017567246455124,4.563882803429744,146.24409980859346,177.25138068073738,347.84613838117747,229.49584009181623,181.37626883516438,0.0,452.00491443925426,452.4302884872032
seyton,11.349721151071499,71.81011858027088,39.83947489010752,14.774414121092404,36.537468836980494,102.68550477480171,355.01298146933857,452.00491443925426,0.0,144.97559985068847
fleming,14.61172276998674,21.455847562195036,6.052407937619364,6.5841289066258915,19.148151065983104,30.656535867347444,280.028837178639,452.4302884872032,144.97559985068847,0.0
