,catherine,tilney,isabella,allen,thorpe,morland,henry,eleanor,james,john
catherine,0.0,0.4071452240545989,0.47023635826550214,0.919053780008507,0.6770375991363273,0.6192770038693205,0.6234440804674585,0.8862807887201736,0.3794306327139497,2.1581620663835333
tilney,0.4071452240545989,0.0,9.81058491486372,17.248766757701084,7.584216070885209,14.619461366379722,38.84107500391303,40.88392644693059,4.1220835768107165,10.690735288906097
isabella,0.47023635826550214,9.81058491486372,0.0,37.68939263888812,23.09201641421865,20.015021353467837,71.35190494411437,86.33861478976654,0.9451566942348887,2.701774274015104
allen,0.919053780008507,17.248766757701084,37.68939263888812,0.0,9.266064173060576,44.81095717851493,128.35731781200295,144.23060788679553,17.80471712415517,24.651235390374296
thorpe,0.6770375991363273,7.584216070885209,23.09201641421865,9.266064173060576,0.0,48.23435958579191,133.79372263536814,154.3016251834646,4.561900095606376,16.046538747986865
morland,0.6192770038693205,14.619461366379722,20.015021353467837,44.81095717851493,48.23435958579191,0.0,56.53634814294713,52.9973607984127,9.072511868407247,17.04364385478834
henry,0.6234440804674585,38.84107500391303,71.35190494411437,128.35731781200295,133.79372263536814,56.53634814294713,0.0,7.6720551234422745,102.74121429545357,151.30928948643546
eleanor,0.8862807887201736,40.88392644693059,86.33861478976654,144.23060788679553,154.3016251834646,52.9973607984127,7.6720551234422745,0.0,195.40500656539066,474.6909161091855
james,0.3794306327139497,4.1220835768107165,0.9451566942348887,17.80471712415517,4.561900095606376,9.072511868407247,102.74121429545357,195.40500656539066,0.0,16.224333949391518
john,2.1581620663835333,10.690735288906097,2.701774274015104,24.651235390374296,16.046538747986865,17.04364385478834,151.30928948643546,474.6909161091855,16.224333949391518,0.0
