,roland,roland graeme,catherine,mary,douglas,catherine seyton,lindesay,adam woodcock,seyton,fleming
roland,0.0,76.76448085640287,33.67646685702311,16.290454035452033,25.651926297735624,4.520987656401434,146.25534415601962,33.784653507021744,27.88516882602396,35.71286384482318
roland graeme,76.76448085640287,0.0,112.91584156626541,88.72938506493163,110.78922043697435,6.039715343806849,111.83282537519825,10.281972332143116,177.49479280490763,52.65214161248139
catherine,33.67646685702311,112.91584156626541,0.0,46.42075649045794,24.923255490036254,38.33244521841326,349.68327163253593,326.46665079707606,95.99693868588955,14.19922445812382
mary,16.290454035452033,88.72938506493163,46.42075649045794,0.0,47.76997197493994,60.87633365314241,293.6871666246345,403.38455429733926,35.91236311569454,16.230057142605965
douglas,25.651926297735624,110.78922043697435,24.923255490036254,47.76997197493994,0.0,179.52061878881048,427.99643427076177,800.0664789916052,88.37712525654581,46.833681659280174
catherine seyton,4.520987656401434,6.039715343806849,38.33244521841326,60.87633365314241,179.52061878881048,0.0,304.6171190639711,522.3361194739753,251.8579596313242,74.22306223537755
lindesay,146.25534415601962,111.83282537519825,349.68327163253593,293.6871666246345,427.99643427076177,304.6171190639711,0.0,409.7396104245797,860.0928478948833,676.9623820359653
adam woodcock,33.784653507021744,10.281972332143116,326.46665079707606,403.38455429733926,800.0664789916052,522.3361194739753,409.7396104245797,0.0,1084.937825876627,1083.276638922634
seyton,27.88516882602396,177.49479280490763,95.99693868588955,35.91236311569454,88.37712525654581,251.8579596313242,860.0928478948833,1084.937825876627,0.0,353.61223528693466
fleming,35.71286384482318,52.65214161248139,14.19922445812382,16.230057142605965,46.833681659280174,74.22306223537755,676.9623820359653,1083.276638922634,353.61223528693466,0.0
