,james,signor dellombra,john,baptista,wilhelm,clara,heinrich,carolina,dellombra,ananias dodger
james,0.0,286.5328206386105,8.699109272953049,689.6103940788985,33.716103903349655,714.7223079030524,2735.3742559864613,1501.591901312299,1164.9723105742833,1601.7729661731746
signor dellombra,286.5328206386105,0.0,472.0173250938362,295.7621167698581,836.1454795690162,145.05912332201382,1732.4492448662747,698.8334667134584,57.69355062745069,2221.952292383208
john,8.699109272953049,472.0173250938362,0.0,842.8271094109906,70.09343857661406,790.5253191841824,2805.2801809308808,1567.1822967838973,1225.0371904984208,2015.0881152240597
baptista,689.6103940788985,295.7621167698581,842.8271094109906,0.0,987.1679191848673,94.29391416862407,685.9719040416346,221.89338747336419,179.96669466465303,1210.1135749996702
wilhelm,33.716103903349655,836.1454795690162,70.09343857661406,987.1679191848673,0.0,1085.3921505896972,3089.066559623725,1915.0371987375174,1541.0465031235321,2038.5266918025413
clara,714.7223079030524,145.05912332201382,790.5253191841824,94.29391416862407,1085.3921505896972,0.0,1973.7461602246958,469.37796753694624,109.54386904328184,2361.3183286152816
heinrich,2735.3742559864613,1732.4492448662747,2805.2801809308808,685.9719040416346,3089.066559623725,1973.7461602246958,0.0,2404.7630634235375,3046.2243913932166,2061.038813975335
carolina,1501.591901312299,698.8334667134584,1567.1822967838973,221.89338747336419,1915.0371987375174,469.37796753694624,2404.7630634235375,0.0,666.0171871319461,1810.8079843070927
dellombra,1164.9723105742833,57.69355062745069,1225.0371904984208,179.96669466465303,1541.0465031235321,109.54386904328184,3046.2243913932166,666.0171871319461,0.0,2568.037149192201
ananias dodger,1601.7729661731746,2221.952292383208,2015.0881152240597,1210.1135749996702,2038.5266918025413,2361.3183286152816,2061.038813975335,1810.8079843070927,2568.037149192201,0.0
