,halbert,piercie shafton,edward,abbot,mary,mary avenel,halbert glendinning,christie,eustace,murray
halbert,0.0,20.653866016483164,17.284387196560033,16.33172016594084,28.608261936225063,8.501597902092536,2.6079615045711573,17.89198448745425,44.57385340375621,161.23962039487208
piercie shafton,20.653866016483164,0.0,27.424857862651436,81.11501355052381,110.35959879309986,16.27383886520166,10.8475297649737,59.01343459964475,140.77364992881476,92.92725755702733
edward,17.284387196560033,27.424857862651436,0.0,52.784491137574186,78.6586612078991,15.654136377941569,40.84761474198775,22.83740369469872,73.90335251051525,114.32791752420209
abbot,16.33172016594084,81.11501355052381,52.784491137574186,0.0,38.76807431835549,45.61065092480179,65.75080369640267,48.355050197910224,25.82789019989,279.0584397511546
mary,28.608261936225063,110.35959879309986,78.6586612078991,38.76807431835549,0.0,99.77419516079809,109.31163016878156,57.97012526519409,31.756306172199107,366.9819723468675
mary avenel,8.501597902092536,16.27383886520166,15.654136377941569,45.61065092480179,99.77419516079809,0.0,43.997120894185024,51.57954436535455,140.26202061724018,282.06853598568244
halbert glendinning,2.6079615045711573,10.8475297649737,40.84761474198775,65.75080369640267,109.31163016878156,43.997120894185024,0.0,57.41899545388098,157.4444622662398,258.4116498496681
christie,17.89198448745425,59.01343459964475,22.83740369469872,48.355050197910224,57.97012526519409,51.57954436535455,57.41899545388098,0.0,107.16347263531016,319.62551171391414
eustace,44.57385340375621,140.77364992881476,73.90335251051525,25.82789019989,31.756306172199107,140.26202061724018,157.4444622662398,107.16347263531016,0.0,499.27213557972027
murray,161.23962039487208,92.92725755702733,114.32791752420209,279.0584397511546,366.9819723468675,282.06853598568244,258.4116498496681,319.62551171391414,499.27213557972027,0.0
