,mowbray,tyrrel,etherington,clara,jekyl,dods,lady penelope,cargill,meg,touchwood
mowbray,0.0,103.78573718362247,25.570446926632997,4.605877281282614,206.54334855754678,159.2832730490509,37.87358931121141,57.07234921848006,380.7804951984392,81.62330439742334
tyrrel,103.78573718362247,0.0,323.9486460937194,117.27331512023319,183.21916399674257,135.69203384613024,119.81475778061173,441.2744405958182,178.22836505787953,231.4779380207575
etherington,25.570446926632997,323.9486460937194,0.0,339.10191611422675,158.87817315293918,648.1988281860424,472.17275829956117,319.7535547906191,2015.7061126965912,192.20858178838628
clara,4.605877281282614,117.27331512023319,339.10191611422675,0.0,390.7658738490705,263.09092612719354,195.1653280745904,236.32505173146842,731.8322405726803,249.12410194237216
jekyl,206.54334855754678,183.21916399674257,158.87817315293918,390.7658738490705,0.0,1096.633580221489,969.0660881242394,868.9177060154107,2625.1500919067685,704.7565827955655
dods,159.2832730490509,135.69203384613024,648.1988281860424,263.09092612719354,1096.633580221489,0.0,551.4280463526495,521.500306919477,1109.9059960394945,465.4104148303769
lady penelope,37.87358931121141,119.81475778061173,472.17275829956117,195.1653280745904,969.0660881242394,551.4280463526495,0.0,753.9523127226357,1171.6275353229648,586.131160236151
cargill,57.07234921848006,441.2744405958182,319.7535547906191,236.32505173146842,868.9177060154107,521.500306919477,753.9523127226357,0.0,1830.6826065182,306.8313593817847
meg,380.7804951984392,178.22836505787953,2015.7061126965912,731.8322405726803,2625.1500919067685,1109.9059960394945,1171.6275353229648,1830.6826065182,0.0,2195.5459844186953
touchwood,81.62330439742334,231.4779380207575,192.20858178838628,249.12410194237216,704.7565827955655,465.4104148303769,586.131160236151,306.8313593817847,2195.5459844186953,0.0
