,eveline,rose,damian,de lacy,raoul,wilkin flammock,fleming,gwenwyn,gillian,wilkin
eveline,0.0,11.014037285865689,74.86466904545853,27.84968476265194,38.34543687760467,54.00498825686666,53.803352058519685,418.8801796882028,30.104602530911375,94.50031997122996
rose,11.014037285865689,0.0,337.7984866487206,125.28847035353485,104.12430222683723,253.7788711123498,208.00286603223725,913.7904971329627,58.516187444026905,398.8050227513461
damian,74.86466904545853,337.7984866487206,0.0,126.87787905556955,101.27420728885127,927.7994085724825,690.2831111886208,2162.608687538377,168.7289801017641,1321.1240382420194
de lacy,27.84968476265194,125.28847035353485,126.87787905556955,0.0,136.25814782872354,771.1433596610501,578.4064250849925,1821.1998295459641,185.52071451689872,1044.3588788080594
raoul,38.34543687760467,104.12430222683723,101.27420728885127,136.25814782872354,0.0,980.6891090681888,815.4071037028938,2134.881325257261,82.4800099682955,1376.824071791607
wilkin flammock,54.00498825686666,253.7788711123498,927.7994085724825,771.1433596610501,980.6891090681888,0.0,116.47043498385524,723.3155853504518,1061.0167752967154,75.60463609058516
fleming,53.803352058519685,208.00286603223725,690.2831111886208,578.4064250849925,815.4071037028938,116.47043498385524,0.0,1133.3193376481302,886.862248954128,96.138297778147
gwenwyn,418.8801796882028,913.7904971329627,2162.608687538377,1821.1998295459641,2134.881325257261,723.3155853504518,1133.3193376481302,0.0,2556.359947986864,742.5844873825438
gillian,30.104602530911375,58.516187444026905,168.7289801017641,185.52071451689872,82.4800099682955,1061.0167752967154,886.862248954128,2556.359947986864,0.0,1645.5395742652531
wilkin,94.50031997122996,398.8050227513461,1321.1240382420194,1044.3588788080594,1376.824071791607,75.60463609058516,96.138297778147,742.5844873825438,1645.5395742652531,0.0
