,quentin,louis,crevecoeur,durward,crawford,oliver,charles,isabelle,hayraddin,quentin durward
quentin,0.0,83.04537991431236,138.98904944543185,11.433552599256046,56.36724416146823,100.23011894325784,132.3484713597321,25.45645223947407,9.841603729786083,17.401478082869254
louis,83.04537991431236,0.0,23.567420456138745,115.0949209731949,62.27086936550387,35.24921225071406,5.498528084699004,80.68953082704822,412.17898175966945,49.22478466009022
crevecoeur,138.98904944543185,23.567420456138745,0.0,757.6256092959537,218.2398775941506,444.71257840424505,70.937464732465,209.21573502701855,812.3170858193431,464.6337140991923
durward,11.433552599256046,115.0949209731949,757.6256092959537,0.0,386.8989116816987,352.04121420091116,782.0312058773636,263.1108535640462,216.5727443480391,33.857811385342025
crawford,56.36724416146823,62.27086936550387,218.2398775941506,386.8989116816987,0.0,668.450250901217,402.12479475375784,520.6472569999128,1019.1765683988222,340.3029116881064
oliver,100.23011894325784,35.24921225071406,444.71257840424505,352.04121420091116,668.450250901217,0.0,1179.3551450509808,816.6932176300936,789.7920370417999,569.1382481993072
charles,132.3484713597321,5.498528084699004,70.937464732465,782.0312058773636,402.12479475375784,1179.3551450509808,0.0,482.2321274160428,1135.2776202840778,948.6300800120205
isabelle,25.45645223947407,80.68953082704822,209.21573502701855,263.1108535640462,520.6472569999128,816.6932176300936,482.2321274160428,0.0,749.988996170181,890.4213063311228
hayraddin,9.841603729786083,412.17898175966945,812.3170858193431,216.5727443480391,1019.1765683988222,789.7920370417999,1135.2776202840778,749.988996170181,0.0,911.2976811235441
quentin durward,17.401478082869254,49.22478466009022,464.6337140991923,33.857811385342025,340.3029116881064,569.1382481993072,948.6300800120205,890.4213063311228,911.2976811235441,0.0
