,florent,lisa,quenu,mademoiselle saget,gavard,claude,marjolin,cadine,la sarriette,monsieur lebigre
florent,0.0,10.196682008168212,3.7977521652578754,10.437259951372996,1.4158926141061259,4.415386993200533,78.60435181339663,89.44354356324632,15.819430235806854,2.7974484063417537
lisa,10.196682008168212,0.0,2.858430807086952,15.629796113533054,10.99776759111217,42.83786193615963,33.92554330343435,52.37605248859559,25.131984480971997,14.974778825300561
quenu,3.7977521652578754,2.858430807086952,0.0,265.54987613647444,62.47168305353662,110.93688268887927,204.0062098520338,192.72870804303648,183.4640264767686,109.1740055416938
mademoiselle saget,10.437259951372996,15.629796113533054,265.54987613647444,0.0,197.90335747395682,172.50425357341206,180.05248643425625,186.50864647004303,10.112634056100411,69.61842085702243
gavard,1.4158926141061259,10.99776759111217,62.47168305353662,197.90335747395682,0.0,184.08251582205065,192.96786236384344,200.99593721210192,216.46535343978871,42.81503978685499
claude,4.415386993200533,42.83786193615963,110.93688268887927,172.50425357341206,184.08251582205065,0.0,240.56641174979228,268.0880402168998,147.62468579809183,208.74814766165892
marjolin,78.60435181339663,33.92554330343435,204.0062098520338,180.05248643425625,192.96786236384344,240.56641174979228,0.0,18.40743762237237,316.79521787847,207.6372574766373
cadine,89.44354356324632,52.37605248859559,192.72870804303648,186.50864647004303,200.99593721210192,268.0880402168998,18.40743762237237,0.0,341.6328946327321,229.39667396482713
la sarriette,15.819430235806854,25.131984480971997,183.4640264767686,10.112634056100411,216.46535343978871,147.62468579809183,316.79521787847,341.6328946327321,0.0,225.31323555758755
monsieur lebigre,2.7974484063417537,14.974778825300561,109.1740055416938,69.61842085702243,42.81503978685499,208.74814766165892,207.6372574766373,229.39667396482713,225.31323555758755,0.0
