,meg,trotty,toby,alderman,richard,joseph,tugby,fish,lilian,toby veck
meg,0.0,12.891672464115238,75.1847383754139,45.313848186600865,7.334667059822214,84.53860412489395,74.86463014330674,76.4871858924104,14.04084629600551,41.883331894647334
trotty,12.891672464115238,0.0,78.18756595019934,31.67920842097729,24.311706944346103,54.517462536886136,119.34215425267904,43.29625585241867,37.02853888593745,47.72115459467037
toby,75.1847383754139,78.18756595019934,0.0,47.824279242464456,207.24457832648605,49.65836969477094,493.28686183680145,88.08199574240089,500.9113354446506,3.7948134342774997
alderman,45.313848186600865,31.67920842097729,47.824279242464456,0.0,210.65206072493416,57.66463674738137,447.1664998112587,43.35902384978915,428.0938168905528,262.1101715377366
richard,7.334667059822214,24.311706944346103,207.24457832648605,210.65206072493416,0.0,261.33109059820237,107.11811341609052,130.8828821948947,45.63672220112922,363.7220033345443
joseph,84.53860412489395,54.517462536886136,49.65836969477094,57.66463674738137,261.33109059820237,0.0,468.17844028866733,36.55151349915575,476.044237204949,423.68055154987405
tugby,74.86463014330674,119.34215425267904,493.28686183680145,447.1664998112587,107.11811341609052,468.17844028866733,0.0,436.055903954795,94.09137402243742,1287.2275213741186
fish,76.4871858924104,43.29625585241867,88.08199574240089,43.35902384978915,130.8828821948947,36.55151349915575,436.055903954795,0.0,406.1446870930546,532.5622346130745
lilian,14.04084629600551,37.02853888593745,500.9113354446506,428.0938168905528,45.63672220112922,476.044237204949,94.09137402243742,406.1446870930546,0.0,1138.5384229618137
toby veck,41.883331894647334,47.72115459467037,3.7948134342774997,262.1101715377366,363.7220033345443,423.68055154987405,1287.2275213741186,532.5622346130745,1138.5384229618137,0.0
