,varney,tressilian,elizabeth,lambourne,janet,amy,foster,blount,michael lambourne,anthony foster
varney,0.0,60.1495257523401,19.44157827930505,30.177706538418587,40.65017065765642,17.73500940435359,6.221217760437334,113.42657801881428,140.11573442142478,30.055836385187437
tressilian,60.1495257523401,0.0,171.94265663190825,69.9726415659172,308.1679864973387,79.59789132390526,162.12399291374336,69.53613697689732,71.80423437405727,102.2925147927408
elizabeth,19.44157827930505,171.94265663190825,0.0,397.2305503036249,374.6032707008409,112.20837906953165,483.59294831151874,91.52663887274942,916.7474616401248,835.9977931384011
lambourne,30.177706538418587,69.9726415659172,397.2305503036249,0.0,334.1638038783683,148.62835287307612,119.65161680518422,431.8533230717758,9.870396851604589,79.53819404598377
janet,40.65017065765642,308.1679864973387,374.6032707008409,334.1638038783683,0.0,439.2698450604044,372.01888260433975,906.8389539304754,640.3752857486194,300.55782247859685
amy,17.73500940435359,79.59789132390526,112.20837906953165,148.62835287307612,439.2698450604044,0.0,303.6606726205717,506.27496237288557,530.4060981457732,308.2953066745931
foster,6.221217760437334,162.12399291374336,483.59294831151874,119.65161680518422,372.01888260433975,303.6606726205717,0.0,1154.051851298377,551.0903528691803,99.82926807124673
blount,113.42657801881428,69.53613697689732,91.52663887274942,431.8533230717758,906.8389539304754,506.27496237288557,1154.051851298377,0.0,1674.706225391273,1535.280556855155
michael lambourne,140.11573442142478,71.80423437405727,916.7474616401248,9.870396851604589,640.3752857486194,530.4060981457732,551.0903528691803,1674.706225391273,0.0,362.1536036721022
anthony foster,30.055836385187437,102.2925147927408,835.9977931384011,79.53819404598377,300.55782247859685,308.2953066745931,99.82926807124673,1535.280556855155,362.1536036721022,0.0
