,hobbie,ratcliffe,ellieslaw,isabella,earnscliff,mareschal,frederick,elshie,vere,elliot
hobbie,0.0,367.2573364485366,313.7473119179758,382.7133408107603,30.351774071645814,365.92021428983276,392.7194441983081,22.994200356584955,389.6226449018063,9.46865887678352
ratcliffe,367.2573364485366,0.0,75.59091148444298,54.67350483880291,860.8549123984237,76.70209951651306,68.80512219601302,815.8995297174947,45.331118980579284,833.0056641097752
ellieslaw,313.7473119179758,75.59091148444298,0.0,135.9027427151353,827.2811452740865,34.08426418350717,22.69025603545015,757.7595766580791,68.71066489455194,782.7417754801779
isabella,382.7133408107603,54.67350483880291,135.9027427151353,0.0,932.3533402598704,184.22304171873537,94.19537036703053,848.3496985690886,207.12197606136186,880.2230042012797
earnscliff,30.351774071645814,860.8549123984237,827.2811452740865,932.3533402598704,0.0,939.2304609269471,982.6299943115249,222.50434236590758,835.2780850426614,151.6536684574149
mareschal,365.92021428983276,76.70209951651306,34.08426418350717,184.22304171873537,939.2304609269471,0.0,60.44337630907495,887.8579725120318,92.3147734116061,966.9437461741984
frederick,392.7194441983081,68.80512219601302,22.69025603545015,94.19537036703053,982.6299943115249,60.44337630907495,0.0,931.5605621923089,105.02303139612826,955.1658730955975
elshie,22.994200356584955,815.8995297174947,757.7595766580791,848.3496985690886,222.50434236590758,887.8579725120318,931.5605621923089,0.0,864.6171463190831,133.59017705283773
vere,389.6226449018063,45.331118980579284,68.71066489455194,207.12197606136186,835.2780850426614,92.3147734116061,105.02303139612826,864.6171463190831,0.0,967.3342734640988
elliot,9.46865887678352,833.0056641097752,782.7417754801779,880.2230042012797,151.6536684574149,966.9437461741984,955.1658730955975,133.59017705283773,967.3342734640988,0.0
