,crawford,edmund,thomas,rushworth,norris,fanny,grant,william,julia,bertram
crawford,0.0,13.921171447344427,22.798136131352933,13.941354051093557,31.134084053293513,5.367684450017302,14.377926477370863,19.785027874180003,8.134699535842778,11.981820274812174
edmund,13.921171447344427,0.0,35.867882695401036,14.546396888571685,25.85215825903754,6.55497126284131,9.792411652126498,45.34373915817303,9.485134029386247,8.718025646431242
thomas,22.798136131352933,35.867882695401036,0.0,105.12416092634619,44.86257032027435,36.50267566615448,63.87887602401175,37.96048730923618,115.0672189364126,81.1434776094726
rushworth,13.941354051093557,14.546396888571685,105.12416092634619,0.0,112.70271539574648,193.6313814590779,78.20820623575405,378.6711839969082,21.001951432697027,60.35503669046864
norris,31.134084053293513,25.85215825903754,44.86257032027435,112.70271539574648,0.0,247.09716325311797,76.88157880139543,290.6310966233431,132.56476460932882,40.21038133169673
fanny,5.367684450017302,6.55497126284131,36.50267566615448,193.6313814590779,247.09716325311797,0.0,393.7919437846095,172.9988068001776,260.0396220022451,335.2777701080346
grant,14.377926477370863,9.792411652126498,63.87887602401175,78.20820623575405,76.88157880139543,393.7919437846095,0.0,552.655775430759,205.6248241474725,94.14971410876984
william,19.785027874180003,45.34373915817303,37.96048730923618,378.6711839969082,290.6310966233431,172.9988068001776,552.655775430759,0.0,556.8848872735742,610.7664524458686
julia,8.134699535842778,9.485134029386247,115.0672189364126,21.001951432697027,132.56476460932882,260.0396220022451,205.6248241474725,556.8848872735742,0.0,170.44952154235958
bertram,11.981820274812174,8.718025646431242,81.1434776094726,60.35503669046864,40.21038133169673,335.2777701080346,94.14971410876984,610.7664524458686,170.44952154235958,0.0
