,julian,bridgenorth,peveril,alice,geoffrey,lady peveril,chiffinch,charles,fenella,lance
julian,0.0,56.00251972697586,8.595092173797047,7.342598234231637,74.77845078119843,262.4212213438042,101.28991970904363,58.63604177805251,34.00037200390675,154.52947948687353
bridgenorth,56.00251972697586,0.0,144.35246765361032,79.65920636781293,36.90740099261649,29.968225155470197,298.0468383100442,413.323723879877,300.2396395890768,81.79415559704044
peveril,8.595092173797047,144.35246765361032,0.0,81.8794791041278,162.8255923473406,411.0880200861598,302.1779220066622,368.51884651907994,72.62091552754339,311.0581050185359
alice,7.342598234231637,79.65920636781293,81.8794791041278,0.0,265.1904486150977,417.06740571275117,743.8415487331322,1017.2472007363991,115.07027337249703,558.6496681811999
geoffrey,74.77845078119843,36.90740099261649,162.8255923473406,265.1904486150977,0.0,84.5755659448479,446.4004239268077,539.7027920985677,600.7860167331307,405.36812640784194
lady peveril,262.4212213438042,29.968225155470197,411.0880200861598,417.06740571275117,84.5755659448479,0.0,2728.5829768533495,2701.3686900858543,2003.2050511773118,1999.278036609521
chiffinch,101.28991970904363,298.0468383100442,302.1779220066622,743.8415487331322,446.4004239268077,2728.5829768533495,0.0,681.7568418168911,801.9194568340972,1048.6750641121753
charles,58.63604177805251,413.323723879877,368.51884651907994,1017.2472007363991,539.7027920985677,2701.3686900858543,681.7568418168911,0.0,1582.97356384409,1369.489579316854
fenella,34.00037200390675,300.2396395890768,72.62091552754339,115.07027337249703,600.7860167331307,2003.2050511773118,801.9194568340972,1582.97356384409,0.0,966.6981047212273
lance,154.52947948687353,81.79415559704044,311.0581050185359,558.6496681811999,405.36812640784194,1999.278036609521,1048.6750641121753,1369.489579316854,966.6981047212273,0.0
