,emma,harriet,weston,elton,knightley,woodhouse,jane,frank churchill,bates,jane fairfax
emma,0.0,3.9182912470738502,2.881473907724056,5.035692619591791,1.2234350879424998,1.3810029949696647,6.629224959876694,1.5719765204418479,2.7946163156217994,4.083909688478489
harriet,3.9182912470738502,0.0,49.14256319934097,42.390185117557216,22.749231915186368,19.623472422644674,42.382505960845194,23.20897696621585,56.4938222057042,71.54788696773177
weston,2.881473907724056,49.14256319934097,0.0,51.46612444715586,28.96360197429198,10.780091530280949,25.131150294005334,8.21360581602849,15.428458083353238,32.75594147049959
elton,5.035692619591791,42.390185117557216,51.46612444715586,0.0,58.74619170111528,15.681171879254515,27.45416577640608,48.85921216008064,40.59953255752496,57.20783319070053
knightley,1.2234350879424998,22.749231915186368,28.96360197429198,58.74619170111528,0.0,53.112939819119454,39.0131794314051,19.02322416159425,22.684202319194522,24.454651519956577
woodhouse,1.3810029949696647,19.623472422644674,10.780091530280949,15.681171879254515,53.112939819119454,0.0,56.145216953022796,43.3665515651922,27.124394984066452,41.09972736471243
jane,6.629224959876694,42.382505960845194,25.131150294005334,27.45416577640608,39.0131794314051,56.145216953022796,0.0,70.00255215496676,73.25624716867308,98.4884989506688
frank churchill,1.5719765204418479,23.20897696621585,8.21360581602849,48.85921216008064,19.02322416159425,43.3665515651922,70.00255215496676,0.0,195.76455349411802,98.34224367763493
bates,2.7946163156217994,56.4938222057042,15.428458083353238,40.59953255752496,22.684202319194522,27.124394984066452,73.25624716867308,195.76455349411802,0.0,57.814915654310994
jane fairfax,4.083909688478489,71.54788696773177,32.75594147049959,57.20783319070053,24.454651519956577,41.09972736471243,98.4884989506688,98.34224367763493,57.814915654310994,0.0
