,tom,huck,joe,becky,sid,mary,polly,tom sawyer,potter,thatcher
tom,0.0,1.8022100677969002,1.0493686318847355,0.41869630902571303,0.4821749671265619,1.7066196821376096,1.2283716656792891,3.7704445377026685,13.801967033267847,7.75459510236115
huck,1.8022100677969002,0.0,37.65630745911846,36.251665578937086,142.42836550255092,177.39736532201715,117.43569373092112,43.19100704265792,75.73601080948595,35.010911551767485
joe,1.0493686318847355,37.65630745911846,0.0,117.98633579517382,100.70235220939314,146.95454540217983,117.04758929342653,87.60393924439317,38.573451522679726,99.94115233892245
becky,0.41869630902571303,36.251665578937086,117.98633579517382,0.0,372.9373869225183,322.0849694256414,181.99709804730523,72.9970917238983,244.89528902352555,23.112249618088576
sid,0.4821749671265619,142.42836550255092,100.70235220939314,372.9373869225183,0.0,19.350137170119282,30.487784399166994,88.11008081852829,185.78887250042285,554.0332701196652
mary,1.7066196821376096,177.39736532201715,146.95454540217983,322.0849694256414,19.350137170119282,0.0,164.0984298729451,392.5732446205648,490.2071256214797,1134.5415961330523
polly,1.2283716656792891,117.43569373092112,117.04758929342653,181.99709804730523,30.487784399166994,164.0984298729451,0.0,225.40665854914354,535.728560435213,846.6004597660576
tom sawyer,3.7704445377026685,43.19100704265792,87.60393924439317,72.9970917238983,88.11008081852829,392.5732446205648,225.40665854914354,0.0,602.5879640553114,618.4237396452602
potter,13.801967033267847,75.73601080948595,38.573451522679726,244.89528902352555,185.78887250042285,490.2071256214797,535.728560435213,602.5879640553114,0.0,1363.871435985145
thatcher,7.75459510236115,35.010911551767485,99.94115233892245,23.112249618088576,554.0332701196652,1134.5415961330523,846.6004597660576,618.4237396452602,1363.871435985145,0.0
