,clotilde,pascal,martine,felicite,ramond,maxime,charles,rougon,macquart,uncle macquart
clotilde,0.0,14.55030712528576,3.2555853250031537,9.920293493212277,15.762598782257049,25.39839789058869,35.76655339680352,5.6616177976506945,69.82390035012942,126.85568099037543
pascal,14.55030712528576,0.0,7.637110547973136,16.177182952129456,8.221747998750875,17.39374675854523,28.771325771115357,9.057646486275914,49.69184376676989,59.593324031251335
martine,3.2555853250031537,7.637110547973136,0.0,37.551679691841116,77.9737292064027,122.66281728201066,178.97578221675252,32.21279367140699,284.7661617752501,358.96905891882807
felicite,9.920293493212277,16.177182952129456,37.551679691841116,0.0,688.0985231411817,109.92296621023199,90.23262383726538,24.77234636309367,63.922500623342806,424.1675600560372
ramond,15.762598782257049,8.221747998750875,77.9737292064027,688.0985231411817,0.0,819.3215812906919,1110.4260902616304,563.3617029153284,1429.6045531433867,1071.2446871023635
maxime,25.39839789058869,17.39374675854523,122.66281728201066,109.92296621023199,819.3215812906919,0.0,240.93823641838696,452.4351004222553,423.4157503604152,1498.9610995955134
charles,35.76655339680352,28.771325771115357,178.97578221675252,90.23262383726538,1110.4260902616304,240.93823641838696,0.0,586.1543014451876,22.690736292829317,133.84277788387752
rougon,5.6616177976506945,9.057646486275914,32.21279367140699,24.77234636309367,563.3617029153284,452.4351004222553,586.1543014451876,0.0,1104.2029818251253,1382.7130026587477
macquart,69.82390035012942,49.69184376676989,284.7661617752501,63.922500623342806,1429.6045531433867,423.4157503604152,22.690736292829317,1104.2029818251253,0.0,1604.6192689092804
uncle macquart,126.85568099037543,59.593324031251335,358.96905891882807,424.1675600560372,1071.2446871023635,1498.9610995955134,133.84277788387752,1382.7130026587477,1604.6192689092804,0.0
