,marc,simon,louise,geneviève,gorgias,david,mignot,crabot,delbos,philibin
marc,0.0,1.3286294374821863,1.1323687718150257,0.708058611759847,4.928429811937023,2.3994172057209764,1.0693234946398538,3.410566924908751,3.6279919215818635,4.498607704348437
simon,1.3286294374821863,0.0,28.735701203323448,29.10184035580798,10.606335744203758,4.440676536071424,10.943177012144158,7.7495599518831915,3.4786682864148886,8.699392852873908
louise,1.1323687718150257,28.735701203323448,0.0,73.24754347500587,70.32936985144524,115.66637017745772,118.92634694714502,96.9472019560051,110.38597352639269,191.07830517107777
geneviève,0.708058611759847,29.10184035580798,73.24754347500587,0.0,104.15869201760208,90.56495499594419,49.85580397517588,67.99444810622414,117.65213872026939,90.62141461062397
gorgias,4.928429811937023,10.606335744203758,70.32936985144524,104.15869201760208,0.0,343.1329014545192,299.47179072699635,99.8869132660488,69.15717042036007,392.008736392141
david,2.3994172057209764,4.440676536071424,115.66637017745772,90.56495499594419,343.1329014545192,0.0,124.29184303657878,37.82305444921509,93.97600553015559,77.68832503618256
mignot,1.0693234946398538,10.943177012144158,118.92634694714502,49.85580397517588,299.47179072699635,124.29184303657878,0.0,155.13600069972875,217.73265967752758,154.61490883899322
crabot,3.410566924908751,7.7495599518831915,96.9472019560051,67.99444810622414,99.8869132660488,37.82305444921509,155.13600069972875,0.0,163.9166743113231,280.4481681662704
delbos,3.6279919215818635,3.4786682864148886,110.38597352639269,117.65213872026939,69.15717042036007,93.97600553015559,217.73265967752758,163.9166743113231,0.0,624.734349396214
philibin,4.498607704348437,8.699392852873908,191.07830517107777,90.62141461062397,392.008736392141,77.68832503618256,154.61490883899322,280.4481681662704,624.734349396214,0.0
