,aglaya,lebedeff,rogojin,hippolyte,nastasia philipovna,epanchin,colia,lizabetha prokofievna,evgenie pavlovitch,nastasia
aglaya,0.0,181.88168294715393,161.78288960702372,79.63140886131865,188.35929177217997,61.21924511306469,75.77452163294888,60.693968963166974,59.172751916344026,139.16948397006533
lebedeff,181.88168294715393,0.0,130.4864950525884,40.12608962403592,243.29453052814264,164.68383902236354,59.90339764068232,92.07386574280874,117.83170186951388,207.72579343851206
rogojin,161.78288960702372,130.4864950525884,0.0,282.4046354234538,111.92532089031074,172.47593356200468,167.00132607231575,424.7003234971175,336.06609226041405,62.22955107428499
hippolyte,79.63140886131865,40.12608962403592,282.4046354234538,0.0,731.2714269186649,790.30161916208,262.76930387300024,150.08526663259298,111.50658876991557,673.5089328752314
nastasia philipovna,188.35929177217997,243.29453052814264,111.92532089031074,731.2714269186649,0.0,263.77248494145624,454.23378962671546,709.6641832158739,711.4155722086673,67.28511095317114
epanchin,61.21924511306469,164.68383902236354,172.47593356200468,790.30161916208,263.77248494145624,0.0,499.1980775519873,715.9505258889661,817.7085578521002,490.00288279670065
colia,75.77452163294888,59.90339764068232,167.00132607231575,262.76930387300024,454.23378962671546,499.1980775519873,0.0,328.6911238729774,515.823563954086,448.7515881658439
lizabetha prokofievna,60.693968963166974,92.07386574280874,424.7003234971175,150.08526663259298,709.6641832158739,715.9505258889661,328.6911238729774,0.0,208.02683920743786,776.7750221894494
evgenie pavlovitch,59.172751916344026,117.83170186951388,336.06609226041405,111.50658876991557,711.4155722086673,817.7085578521002,515.823563954086,208.02683920743786,0.0,842.4437047503664
nastasia,139.16948397006533,207.72579343851206,62.22955107428499,673.5089328752314,67.28511095317114,490.00288279670065,448.7515881658439,776.7750221894494,842.4437047503664,0.0
