,elizabeth,darcy,bennet,jane,bingley,wickham,collins,lydia,gardiner,lizzy
elizabeth,0.0,3.7720640867522284,5.12481108162555,1.651615776189343,9.96255020736651,7.445825584742291,5.000023646971315,7.652510599654111,3.2661722514855285,5.670403446294991
darcy,3.7720640867522284,0.0,23.048023386834807,19.54803950840238,14.46319093832477,26.94672202459298,40.78708339261302,51.373626432828495,43.95617860059539,17.007299145867293
bennet,5.12481108162555,23.048023386834807,0.0,30.47500049961661,17.270171189764028,93.83667605264537,87.55268135595746,76.87906706154281,166.28419797493896,11.967622199194903
jane,1.651615776189343,19.54803950840238,30.47500049961661,0.0,60.19417510925327,47.41565120293359,128.6282307141441,38.04672454104383,105.63833694684006,11.690431729003228
bingley,9.96255020736651,14.46319093832477,17.270171189764028,60.19417510925327,0.0,211.42494376957822,169.631823827831,227.08235789064918,330.5344355086836,44.45750774230523
wickham,7.445825584742291,26.94672202459298,93.83667605264537,47.41565120293359,211.42494376957822,0.0,224.8032906859273,60.821022470410306,114.54137262409989,131.17994993479812
collins,5.000023646971315,40.78708339261302,87.55268135595746,128.6282307141441,169.631823827831,224.8032906859273,0.0,361.298798105377,536.9385210947465,411.51924721571714
lydia,7.652510599654111,51.373626432828495,76.87906706154281,38.04672454104383,227.08235789064918,60.821022470410306,361.298798105377,0.0,111.63203456820962,119.20753878359565
gardiner,3.2661722514855285,43.95617860059539,166.28419797493896,105.63833694684006,330.5344355086836,114.54137262409989,536.9385210947465,111.63203456820962,0.0,537.7171083756409
lizzy,5.670403446294991,17.007299145867293,11.967622199194903,11.690431729003228,44.45750774230523,131.17994993479812,411.51924721571714,119.20753878359565,537.7171083756409,0.0
