,berthe,auguste,madame josserand,duveyrier,trublot,bachelard,monsieur josserand,hortense,clotilde,marie
berthe,0.0,4.168465953712744,1.4373921302448807,8.105304271630954,4.940408703072317,10.142957907906077,2.051862886489436,0.5619430383557363,6.94451472447123,17.110457910981673
auguste,4.168465953712744,0.0,91.51404259879781,14.077715119121024,65.57929370634314,23.378515159419358,89.02521462837706,81.1818232215064,14.5583388803753,73.72681838824107
madame josserand,1.4373921302448807,91.51404259879781,0.0,28.77337946579666,18.0035583213514,20.952671973909993,3.1954857596717137,1.7930307829704304,30.049819337331897,36.29058830617226
duveyrier,8.105304271630954,14.077715119121024,28.77337946579666,0.0,102.9395081889387,33.49621825780112,113.58385772643936,104.98603230215612,18.216901303907896,83.34199543058034
trublot,4.940408703072317,65.57929370634314,18.0035583213514,102.9395081889387,0.0,48.34610799764308,33.93928332100595,38.81140532220755,70.45475374475625,33.96369646646563
bachelard,10.142957907906077,23.378515159419358,20.952671973909993,33.49621825780112,48.34610799764308,0.0,94.80019518540018,70.44828021091546,66.66236765065653,66.93549417497933
monsieur josserand,2.051862886489436,89.02521462837706,3.1954857596717137,113.58385772643936,33.93928332100595,94.80019518540018,0.0,14.279644457657994,138.51540117700412,58.272179227584296
hortense,0.5619430383557363,81.1818232215064,1.7930307829704304,104.98603230215612,38.81140532220755,70.44828021091546,14.279644457657994,0.0,206.74180936162082,87.89349928009987
clotilde,6.94451472447123,14.5583388803753,30.049819337331897,18.216901303907896,70.45475374475625,66.66236765065653,138.51540117700412,206.74180936162082,0.0,212.12089738123154
marie,17.110457910981673,73.72681838824107,36.29058830617226,83.34199543058034,33.96369646646563,66.93549417497933,58.272179227584296,87.89349928009987,212.12089738123154,0.0
