,zverkov,simonov,liza,ferfitchkin,trudolyubov,anton antonitch,heine,olympia,stenka razins,shakespeare
zverkov,0.0,60.573699833715224,823.9307907199646,8.20702933841441,7.748047520562744,396.6663742851985,7515.686553778823,24.579803497740404,20130.383276831453,80.69562351374906
simonov,60.573699833715224,0.0,781.4588352224395,33.93552075143289,23.74603350955482,251.75030004567247,7007.325105144534,223.86610282507408,19303.685732293256,519.4101421935344
liza,823.9307907199646,781.4588352224395,0.0,1123.8159444263927,1223.813901562985,3464.673015180905,18978.180920477032,3765.5600222505645,37462.14624065062,6818.309811122531
ferfitchkin,8.20702933841441,33.93552075143289,1123.8159444263927,0.0,15.004797630939818,1036.7508786378507,8365.500583570009,171.61234084177522,21330.229415585243,438.4876140955397
trudolyubov,7.748047520562744,23.74603350955482,1223.813901562985,15.004797630939818,0.0,1116.1114122990873,8313.560926820186,157.0198934653746,21362.194306063357,539.256809832069
anton antonitch,396.6663742851985,251.75030004567247,3464.673015180905,1036.7508786378507,1116.1114122990873,0.0,5479.359198613643,4446.352141415363,16178.407016566605,5762.609837350712
heine,7515.686553778823,7007.325105144534,18978.180920477032,8365.500583570009,8313.560926820186,5479.359198613643,0.0,15190.098343021296,8429.225435629236,22105.051913014657
olympia,24.579803497740404,223.86610282507408,3765.5600222505645,171.61234084177522,157.0198934653746,4446.352141415363,15190.098343021296,0.0,31988.21491370449,1383.3611167952647
stenka razins,20130.383276831453,19303.685732293256,37462.14624065062,21330.229415585243,21362.194306063357,16178.407016566605,8429.225435629236,31988.21491370449,0.0,30590.13307769818
shakespeare,80.69562351374906,519.4101421935344,6818.309811122531,438.4876140955397,539.256809832069,5762.609837350712,22105.051913014657,1383.3611167952647,30590.13307769818,0.0
