,julian,bridgenorth,peveril,alice,geoffrey,lady peveril,chiffinch,charles,fenella,lance
julian,0.0,30.755038780886753,4.4376590561085845,3.65545921066253,39.74154565582939,134.98183750082393,43.25054460951549,24.994181694510765,14.6978681211584,67.46643932404518
bridgenorth,30.755038780886753,0.0,74.00038761709824,38.849320706914675,17.966577472170744,15.581253474503633,128.23643936967514,176.19644329176558,130.36262994361485,35.303049969433985
peveril,4.4376590561085845,74.00038761709824,0.0,40.51021520879252,82.94535558923256,206.62415291209518,129.1439379821371,155.5999016451583,31.084852371039485,134.08403492361322
alice,3.65545921066253,38.849320706914675,40.51021520879252,0.0,133.44007984849094,210.60126320934287,324.0626512600862,437.2528555930015,50.176679513826215,240.85247622942694
geoffrey,39.74154565582939,17.966577472170744,82.94535558923256,133.44007984849094,0.0,44.553392322642736,194.18929679733424,230.25557698079447,261.97103187969225,173.1500962188671
lady peveril,134.98183750082393,15.581253474503633,206.62415291209518,210.60126320934287,44.553392322642736,0.0,1239.6760634401944,1211.6930088144218,908.7567902959041,890.4290531782652
chiffinch,43.25054460951549,128.23643936967514,129.1439379821371,324.0626512600862,194.18929679733424,1239.6760634401944,0.0,295.198432875212,346.19350371954476,451.4536244126225
charles,24.994181694510765,176.19644329176558,155.5999016451583,437.2528555930015,230.25557698079447,1211.6930088144218,295.198432875212,0.0,677.1830732685725,583.8120458453245
fenella,14.6978681211584,130.36262994361485,31.084852371039485,50.176679513826215,261.97103187969225,908.7567902959041,346.19350371954476,677.1830732685725,0.0,420.5383308984889
lance,67.46643932404518,35.303049969433985,134.08403492361322,240.85247622942694,173.1500962188671,890.4290531782652,451.4536244126225,583.8120458453245,420.5383308984889,0.0
