,rougon,clorinde,m. kahn,du poizat,delestang,gilquin,madame correur,m. la rouquette,m. béjuin,merle
rougon,0.0,2.260992155043197,5.0257134491822955,3.087400925132941,1.5537423138746262,20.29414150590115,7.241781684990531,14.106709425685848,4.633641320457941,2.3710864297192056
clorinde,2.260992155043197,0.0,64.59304826422444,74.44980671687233,24.33039262496881,128.40601241403286,57.92022729046428,46.74067612887723,61.93187874765195,132.82683182222408
m. kahn,5.0257134491822955,64.59304826422444,0.0,157.77283995464433,157.68306688009145,184.80972935510013,69.43130413184024,154.98901980510132,6.209284939495821,109.57754112311285
du poizat,3.087400925132941,74.44980671687233,157.77283995464433,0.0,166.41839432901102,206.2144642673473,157.29467608015483,446.33375741922407,209.81507677065704,144.9752562304961
delestang,1.5537423138746262,24.33039262496881,157.68306688009145,166.41839432901102,0.0,283.5725144344803,190.84096796302546,181.00750297436917,180.041278141148,305.46516710938477
gilquin,20.29414150590115,128.40601241403286,184.80972935510013,206.2144642673473,283.5725144344803,0.0,172.60922218776597,738.0058416640654,590.2767689391694,436.7997988551297
madame correur,7.241781684990531,57.92022729046428,69.43130413184024,157.29467608015483,190.84096796302546,172.60922218776597,0.0,555.9569676875541,284.6439777077903,367.46793887504305
m. la rouquette,14.106709425685848,46.74067612887723,154.98901980510132,446.33375741922407,181.00750297436917,738.0058416640654,555.9569676875541,0.0,421.34254162779865,718.2595475971499
m. béjuin,4.633641320457941,61.93187874765195,6.209284939495821,209.81507677065704,180.041278141148,590.2767689391694,284.6439777077903,421.34254162779865,0.0,478.0045194393342
merle,2.3710864297192056,132.82683182222408,109.57754112311285,144.9752562304961,305.46516710938477,436.7997988551297,367.46793887504305,718.2595475971499,478.0045194393342,0.0
