,CharlesDickens,EmileZola,FyodorDostoyevski,JaneAusten,MarkTwain,WalterScott
CharlesDickens,1,0.8461111111111127,0.561875,0.6416666666666668,0.426875,0.651666666666667
EmileZola,0.8461111111111127,1,0.663125,0.4812499999999998,0.698125,0.8070833333333323
FyodorDostoyevski,0.561875,0.663125,1,0.7020833333333336,0.4996875,0.6471875
JaneAusten,0.6416666666666668,0.4812499999999998,0.7020833333333336,1,0.5904166666666656,0.7954166666666669
MarkTwain,0.426875,0.698125,0.4996875,0.5904166666666656,1,0.674375
WalterScott,0.651666666666667,0.8070833333333323,0.6471875,0.7954166666666669,0.674375,1
