,CharlesDickens,EmileZola,FyodorDostoyevski,JaneAusten,MarkTwain,WalterScott
CharlesDickens,1,0.8177777777777773,0.34875,0.7470833333333333,0.591875,0.5858333333333332
EmileZola,0.8177777777777773,1,0.7084375,0.38291666666666657,0.7409375,0.8005555555555536
FyodorDostoyevski,0.34875,0.7084375,1,0.7287500000000006,0.460625,0.445
JaneAusten,0.7470833333333333,0.38291666666666657,0.7287500000000006,1,0.8670833333333328,0.8325000000000001
MarkTwain,0.591875,0.7409375,0.460625,0.8670833333333328,1,0.7115625
WalterScott,0.5858333333333332,0.8005555555555536,0.445,0.8325000000000001,0.7115625,1
