,CharlesDickens,EmileZola,FyodorDostoyevski,JaneAusten,MarkTwain,WalterScott
CharlesDickens,1,0.833055555555556,0.4875,0.7941666666666667,0.6934375,0.7027777777777783
EmileZola,0.833055555555556,1,0.69375,0.3520833333333336,0.7628125,0.8340277777777785
FyodorDostoyevski,0.4875,0.69375,1,0.7358333333333335,0.4915625,0.485
JaneAusten,0.7941666666666667,0.3520833333333336,0.7358333333333335,1,0.616249999999999,0.9079166666666656
MarkTwain,0.6934375,0.7628125,0.4915625,0.616249999999999,1,0.6346875
WalterScott,0.7027777777777783,0.8340277777777785,0.485,0.9079166666666656,0.6346875,1
