,CharlesDickens,EmileZola,FyodorDostoyevski,JaneAusten,MarkTwain,WalterScott
CharlesDickens,1,0.6519444444444443,0.699375,0.745,0.6059375,0.4856944444444445
EmileZola,0.6519444444444443,1,0.6084375,0.4729166666666666,0.6084375,0.7970833333333318
FyodorDostoyevski,0.699375,0.6084375,1,0.7262499999999998,0.45875,0.40875
JaneAusten,0.745,0.4729166666666666,0.7262499999999998,1,0.6495833333333343,0.8733333333333332
MarkTwain,0.6059375,0.6084375,0.45875,0.6495833333333343,1,0.6109375
WalterScott,0.4856944444444445,0.7970833333333318,0.40875,0.8733333333333332,0.6109375,1
