,CharlesDickens,EmileZola,FyodorDostoyevski,JaneAusten,MarkTwain,WalterScott
CharlesDickens,1,0.5891666666666665,0.466875,0.6733333333333342,0.653125,0.523194444444444
EmileZola,0.5891666666666665,1,0.82375,0.5741666666666657,0.728125,0.8180555555555549
FyodorDostoyevski,0.466875,0.82375,1,0.7995833333333333,0.4209375,0.2228125
JaneAusten,0.6733333333333342,0.5741666666666657,0.7995833333333333,1,0.7779166666666668,1.0
MarkTwain,0.653125,0.728125,0.4209375,0.7779166666666668,1,0.5603125
WalterScott,0.523194444444444,0.8180555555555549,0.2228125,1.0,0.5603125,1
