,mathieu,marianne,constance,beauchene,norine,morange,blaise,denis,seguin,ambroise
mathieu,0.0,0.0012126953913755378,0.00653946983578224,0.0017700837324009441,0.004806825736205889,0.008924066662781288,0.004908788097126833,0.003899188555815204,0.0009779446982516688,0.0010374651086348641
marianne,0.0012126953913755378,0.0,0.03536485762572193,0.012564310347343484,0.024444232429121346,0.0226696543839931,0.009294700088599629,0.00888780610731324,0.011988859224566736,0.006522867857987301
constance,0.00653946983578224,0.03536485762572193,0.0,0.05670570296052771,0.06456588519675098,0.010571520943014981,0.008012719245022823,0.019356317583214305,0.047483304996904695,0.0240573279738607
beauchene,0.0017700837324009441,0.012564310347343484,0.05670570296052771,0.0,0.08041543484697508,0.12403098799859046,0.10386903286673971,0.19140705907395925,0.022012611803795715,0.11487265430008477
norine,0.004806825736205889,0.024444232429121346,0.06456588519675098,0.08041543484697508,0.0,0.0937699203451945,0.07648538900994553,0.12314966982125412,0.06047080330914937,0.0668573368612894
morange,0.008924066662781288,0.0226696543839931,0.010571520943014981,0.12403098799859046,0.0937699203451945,0.0,0.0671524712754138,0.03239119320043964,0.07471903396776042,0.03628848419646525
blaise,0.004908788097126833,0.009294700088599629,0.008012719245022823,0.10386903286673971,0.07648538900994553,0.0671524712754138,0.0,0.07236127423152611,0.17565425334984158,0.038587206764139834
denis,0.003899188555815204,0.00888780610731324,0.019356317583214305,0.19140705907395925,0.12314966982125412,0.03239119320043964,0.07236127423152611,0.0,0.2904763413378274,0.015338468406101728
seguin,0.0009779446982516688,0.011988859224566736,0.047483304996904695,0.022012611803795715,0.06047080330914937,0.07471903396776042,0.17565425334984158,0.2904763413378274,0.0,0.2556325314279252
ambroise,0.0010374651086348641,0.006522867857987301,0.0240573279738607,0.11487265430008477,0.0668573368612894,0.03628848419646525,0.038587206764139834,0.015338468406101728,0.2556325314279252,0.0
