,micawber,peggotty,dora,copperfield,agnes,traddles,murdstone,dick,steerforth,wickfield
micawber,0.0,0.15140564072357895,0.06834159062163761,0.025730246104707706,0.030774312825010194,0.012341111521930364,0.08508028476624338,0.020348976480703534,0.04133879985114648,0.020476230836861755
peggotty,0.15140564072357895,0.0,0.2246788763446684,0.07284151075639858,0.12117687678885847,0.08375079072734444,0.017192506389216718,0.04436386473188038,0.017815810350376073,0.0490584466143461
dora,0.06834159062163761,0.2246788763446684,0.0,0.11909136698413875,0.07551034883965937,0.04850982907023296,0.3656518607137936,0.09141853615961681,0.1884231046467993,0.08361938215801755
copperfield,0.025730246104707706,0.07284151075639858,0.11909136698413875,0.0,0.039501256142078,0.02754740801375046,0.17350541251986026,0.042464709612057054,0.028527131585118545,0.017124907538170368
agnes,0.030774312825010194,0.12117687678885847,0.07551034883965937,0.039501256142078,0.0,0.02626403052734329,0.2931048531979586,0.05256781732095368,0.07485552757249267,0.019535861251577764
traddles,0.012341111521930364,0.08375079072734444,0.04850982907023296,0.02754740801375046,0.02626403052734329,0.0,0.4658764460602346,0.15364715014702404,0.1918195146084005,0.07881569176428013
murdstone,0.08508028476624338,0.017192506389216718,0.3656518607137936,0.17350541251986026,0.2931048531979586,0.4658764460602346,0.0,0.21868732155896714,0.07918241712510778,0.180100737925887
dick,0.020348976480703534,0.04436386473188038,0.09141853615961681,0.042464709612057054,0.05256781732095368,0.15364715014702404,0.21868732155896714,0.0,0.09228047196273671,0.025510885570603617
steerforth,0.04133879985114648,0.017815810350376073,0.1884231046467993,0.028527131585118545,0.07485552757249267,0.1918195146084005,0.07918241712510778,0.09228047196273671,0.0,0.13849711769226536
wickfield,0.020476230836861755,0.0490584466143461,0.08361938215801755,0.017124907538170368,0.019535861251577764,0.07881569176428013,0.180100737925887,0.025510885570603617,0.13849711769226536,0.0
