,boffin,bella,eugene,venus,fledgeby,mrs boffin,wegg,twemlow,lizzie,john
boffin,0.0,0.0469165560259087,0.04031664272189342,0.009874568608723147,0.04921663097273345,0.005594257532727695,0.0031891784397695827,0.026077375654915504,0.03433878194547974,0.03359468652430503
bella,0.0469165560259087,0.0,0.04730593918873048,0.020730317280758845,0.04685086177554341,0.05046220604046673,0.0363288866565036,0.02884107719552689,0.01423618402508571,0.001363623216814984
eugene,0.04031664272189342,0.04730593918873048,0.0,0.11980096819353848,0.08988526500049226,0.06072868799220629,0.05550797688835286,0.04181827876680531,0.020911784406875106,0.11583446494936164
venus,0.009874568608723147,0.020730317280758845,0.11980096819353848,0.0,0.06426757284469581,0.1246893805419692,0.052281413898955305,0.05526985580459272,0.05223767532940446,0.1231317954240098
fledgeby,0.04921663097273345,0.04685086177554341,0.08988526500049226,0.06426757284469581,0.0,0.14426379122345245,0.11183112322853103,0.05202018552494384,0.05260242866330646,0.1392525243234928
mrs boffin,0.005594257532727695,0.05046220604046673,0.06072868799220629,0.1246893805419692,0.14426379122345245,0.0,0.03418490097602672,0.06112777507834559,0.04365083230832048,0.19899524957501363
wegg,0.0031891784397695827,0.0363288866565036,0.05550797688835286,0.052281413898955305,0.11183112322853103,0.03418490097602672,0.0,0.0615304181070055,0.05720932331211292,0.21237644715444653
twemlow,0.026077375654915504,0.02884107719552689,0.04181827876680531,0.05526985580459272,0.05202018552494384,0.06112777507834559,0.0615304181070055,0.0,0.07318499099100213,0.2975262377840406
lizzie,0.03433878194547974,0.01423618402508571,0.020911784406875106,0.05223767532940446,0.05260242866330646,0.04365083230832048,0.05720932331211292,0.07318499099100213,0.0,0.24476049241587897
john,0.03359468652430503,0.001363623216814984,0.11583446494936164,0.1231317954240098,0.1392525243234928,0.19899524957501363,0.21237644715444653,0.2975262377840406,0.24476049241587897,0.0
