,barbara,makar alexievitch,pokrovski,barbara alexievna,thedora,makar dievushkin,anna thedorovna,bwikov,rataziaev,anna
barbara,0.0,0.050125382287548204,0.1783424464292764,0.02259391919433336,0.016666098338891926,0.011049451126599753,0.06963674130987037,0.10114220586305063,0.005169232057272672,0.1513066905341473
makar alexievitch,0.050125382287548204,0.0,0.19013714193752465,0.012656908238863307,0.0065826472166125105,0.0031350949145903394,0.055921199010782685,0.04414066377624818,0.024967363464539902,0.12394866156991327
pokrovski,0.1783424464292764,0.19013714193752465,0.0,0.2770166253104383,0.34084217219405366,0.31885014709806386,0.07551533313458461,0.35842557090998284,0.25152285446060735,0.031361665010071475
barbara alexievna,0.02259391919433336,0.012656908238863307,0.2770166253104383,0.0,0.04419807657840452,0.014227249854751359,0.10561821533378675,0.10591456869100666,0.07388465761225936,0.19199748252635643
thedora,0.016666098338891926,0.0065826472166125105,0.34084217219405366,0.04419807657840452,0.0,0.01761947447966159,0.16572275156955515,0.10662655958782193,0.09690687795949567,0.3127511960508117
makar dievushkin,0.011049451126599753,0.0031350949145903394,0.31885014709806386,0.014227249854751359,0.01761947447966159,0.0,0.1803967582184393,0.11469437589524331,0.1114324938854243,0.3027280804875429
anna thedorovna,0.06963674130987037,0.055921199010782685,0.07551533313458461,0.10561821533378675,0.16572275156955515,0.1803967582184393,0.0,0.29391906820166164,0.13231659549817115,0.10694964721527296
bwikov,0.10114220586305063,0.04414066377624818,0.35842557090998284,0.10591456869100666,0.10662655958782193,0.11469437589524331,0.29391906820166164,0.0,0.2310113850857538,0.466322453200583
rataziaev,0.005169232057272672,0.024967363464539902,0.25152285446060735,0.07388465761225936,0.09690687795949567,0.1114324938854243,0.13231659549817115,0.2310113850857538,0.0,0.3508027431726419
anna,0.1513066905341473,0.12394866156991327,0.031361665010071475,0.19199748252635643,0.3127511960508117,0.3027280804875429,0.10694964721527296,0.466322453200583,0.3508027431726419,0.0
