,cedric,rebecca,de bracy,rowena,isaac,saxon,gurth,john,richard,wamba
cedric,0.0,0.16593774019831706,0.035267962805934736,0.008754118173870732,0.04065924892923839,0.0033601865415146585,0.0381941068801855,0.05138047331943042,0.04871078181770414,0.0068840057566456865
rebecca,0.16593774019831706,0.0,0.04136809738111826,0.06890373837904963,0.046734097206362145,0.07679962635924592,0.15758222538453723,0.11938013171368234,0.031891298014171655,0.06230835580806189
de bracy,0.035267962805934736,0.04136809738111826,0.0,0.0936700491069358,0.04819991220637384,0.08486214764746461,0.15866389922084947,0.10794646674480621,0.14019332152173425,0.08026037039442012
rowena,0.008754118173870732,0.06890373837904963,0.0936700491069358,0.0,0.06482509052515482,0.022128575268313185,0.07304038698622961,0.06974801147619118,0.09897845857941046,0.030109522591959495
isaac,0.04065924892923839,0.046734097206362145,0.04819991220637384,0.06482509052515482,0.0,0.08590975303938088,0.1277033174062477,0.08141339436408616,0.12949988342459295,0.056071693111766435
saxon,0.0033601865415146585,0.07679962635924592,0.08486214764746461,0.022128575268313185,0.08590975303938088,0.0,0.07446417786034223,0.09350881059172167,0.13591775089444413,0.02541413450544516
gurth,0.0381941068801855,0.15758222538453723,0.15866389922084947,0.07304038698622961,0.1277033174062477,0.07446417786034223,0.0,0.05184827646973943,0.29269234933735716,0.11195047272396198
john,0.05138047331943042,0.11938013171368234,0.10794646674480621,0.06974801147619118,0.08141339436408616,0.09350881059172167,0.05184827646973943,0.0,0.26657918767013733,0.12074418862883204
richard,0.04871078181770414,0.031891298014171655,0.14019332152173425,0.09897845857941046,0.12949988342459295,0.13591775089444413,0.29269234933735716,0.26657918767013733,0.0,0.19218209231159342
wamba,0.0068840057566456865,0.06230835580806189,0.08026037039442012,0.030109522591959495,0.056071693111766435,0.02541413450544516,0.11195047272396198,0.12074418862883204,0.19218209231159342,0.0
